,label,tid,time,day,poi,price,rating,weather
47705,722,20143,322,Tuesday,MTA Subway - 8th Ave (N),-1,-1.0,Clouds
25472,384,10889,902,Monday,NYCDOE/DIIT Renaissance Conference Room,-1,-1.0,Clouds
35976,521,14654,460,Monday,TD Bank,-1,6.0,Clouds
63211,976,27081,1288,Friday,MTA Subway - Kosciuszko St (J),-1,-1.0,Clouds
1054,19,482,660,Saturday,3315 Pleasant Avenue,-1,-1.0,Clear
51674,763,21281,427,Monday,ALCC American Language,-1,-1.0,Clear
37894,539,15142,1378,Wednesday,The Hawthorne,-1,-1.0,Clouds
56987,881,24451,1350,Friday,MTA Bus Stop - 116th & Broadway (M4/M60/M104),-1,-1.0,Clear
22895,354,10034,1045,Thursday,MTA Subway - Manhattan Bridge (B/D/N/Q),-1,-1.0,Clear
6261,95,2607,785,Sunday,All Saints Episcopal Church,-1,-1.0,Clear
2075,56,1519,691,Thursday,417 Fifth Avenue,-1,-1.0,Clear
34667,492,13835,1358,Thursday,Port Authority Bus Terminal,-1,5.5,Clouds
32749,472,13320,411,Tuesday,Q111 Bus,-1,-1.0,Clouds
746,14,338,863,Wednesday,Madison Square Park,-1,9.6,Clouds
25156,372,10587,1145,Thursday,Toad Hall,2,6.5,Clear
21539,349,9896,938,Friday,Cocoron,2,9.4,Clouds
17603,295,8285,157,Sunday,The Stumble Inn,2,7.4,Clear
5033,84,2290,956,Thursday,Packard Cafe & Grill,1,7.9,Clear
8320,138,3875,694,Friday,MTA Subway - Saratoga Ave (3),-1,-1.0,Clouds
61747,951,26288,1375,Saturday,Coppelia,2,9.2,Rain
63667,990,27431,501,Tuesday,InterContinental New York Times Square,-1,8.5,Clear
26733,386,10947,946,Wednesday,Sisto Funeral Home,-1,-1.0,Clouds
32887,472,13333,402,Monday,Q111 Bus,-1,-1.0,Clouds
26994,390,11040,1062,Friday,Ulysses Folk House,2,7.9,Clouds
64448,1006,27889,1160,Wednesday,PS/IS 270,-1,-1.0,Rain
27221,396,11205,801,Wednesday,Le Monde,2,6.6,Clouds
39243,589,16430,985,Friday,Northern Valley Feed & Turf,-1,-1.0,Clouds
62071,951,26296,1032,Wednesday,MTA Subway - 42nd St/Times Square/Port Authority Bus Terminal (A/C/E/N/Q/R/S/W/1/2/3/7),-1,-1.0,Clouds
37584,531,14895,593,Tuesday,Pepitone/Venturini Place,-1,-1.0,Clouds
63820,990,27436,773,Monday,Wingate by Wyndham Manhattan Midtown,-1,6.8,Clear
8355,138,3877,1233,Thursday,Hammer Of Funk,-1,-1.0,Clear
38879,582,16273,781,Thursday,Coney Island Avenue Bridge,-1,-1.0,Clouds
65719,1040,28750,901,Saturday,Hell's Kitchen Flea Market,-1,6.7,Clouds
46227,702,19648,785,Thursday,St. Francis College,-1,-1.0,Clear
14842,262,7396,1038,Friday,Shell,-1,5.9,Clouds
60883,934,25866,1108,Friday,Corner of 77th & Central Park West,-1,6.8,Clear
29610,440,12455,554,Tuesday,MTA Subway - Court Sq/23rd St (E/M),-1,-1.0,Clouds
6082,94,2590,864,Monday,R' Landau's Shul,-1,-1.0,Clear
60444,928,25691,445,Monday,MTA Subway - Burke Ave (2/5),-1,-1.0,Clear
8380,138,3878,752,Thursday,Lenox Hill Neighborhood House,-1,7.0,Clouds
29894,443,12526,873,Tuesday,241 37th St,-1,-1.0,Clear
8097,121,3334,1313,Sunday,Del Rio Diner,2,-1.0,Clear
