class,classifier,precision,recall,f1_score,support
41,Approach2_Step2,0.67,0.67,0.67,3.0
43,Approach2_Step2,1.0,1.0,1.0,3.0
146,Approach2_Step2,1.0,1.0,1.0,8.0
149,Approach2_Step2,1.0,1.0,1.0,10.0
190,Approach2_Step2,1.0,1.0,1.0,2.0
221,Approach2_Step2,1.0,1.0,1.0,9.0
224,Approach2_Step2,0.0,0.0,0.0,3.0
264,Approach2_Step2,1.0,1.0,1.0,5.0
279,Approach2_Step2,1.0,1.0,1.0,7.0
299,Approach2_Step2,1.0,1.0,1.0,7.0
321,Approach2_Step2,1.0,0.5,0.67,2.0
568,Approach2_Step2,1.0,0.89,0.94,9.0
570,Approach2_Step2,1.0,1.0,1.0,2.0
623,Approach2_Step2,1.0,1.0,1.0,6.0
650,Approach2_Step2,1.0,1.0,1.0,4.0
662,Approach2_Step2,1.0,0.75,0.86,4.0
686,Approach2_Step2,1.0,1.0,1.0,8.0
718,Approach2_Step2,1.0,0.67,0.8,3.0
818,Approach2_Step2,1.0,1.0,1.0,3.0
824,Approach2_Step2,1.0,1.0,1.0,2.0
851,Approach2_Step2,1.0,0.67,0.8,6.0
852,Approach2_Step2,1.0,1.0,1.0,6.0
878,Approach2_Step2,1.0,1.0,1.0,5.0
900,Approach2_Step2,0.67,0.67,0.67,3.0
963,Approach2_Step2,1.0,1.0,1.0,5.0
1075,Approach2_Step2,1.0,1.0,1.0,5.0
1076,Approach2_Step2,1.0,0.9,0.95,10.0
1094,Approach2_Step2,1.0,1.0,1.0,5.0
1095,Approach2_Step2,1.0,0.71,0.83,7.0
1141,Approach2_Step2,1.0,1.0,1.0,8.0
1170,Approach2_Step2,1.0,1.0,1.0,4.0
1240,Approach2_Step2,1.0,1.0,1.0,5.0
1302,Approach2_Step2,1.0,1.0,1.0,9.0
1446,Approach2_Step2,1.0,1.0,1.0,9.0
1497,Approach2_Step2,1.0,1.0,1.0,9.0
1513,Approach2_Step2,1.0,1.0,1.0,2.0
1559,Approach2_Step2,1.0,1.0,1.0,5.0
1769,Approach2_Step2,1.0,1.0,1.0,11.0
1770,Approach2_Step2,1.0,0.94,0.97,17.0
1771,Approach2_Step2,1.0,1.0,1.0,7.0
1875,Approach2_Step2,1.0,1.0,1.0,5.0
1892,Approach2_Step2,0.67,0.67,0.67,3.0
1907,Approach2_Step2,1.0,1.0,1.0,2.0
1912,Approach2_Step2,1.0,1.0,1.0,7.0
1939,Approach2_Step2,1.0,0.5,0.67,2.0
1952,Approach2_Step2,1.0,1.0,1.0,2.0
1968,Approach2_Step2,1.0,1.0,1.0,5.0
2005,Approach2_Step2,0.67,1.0,0.8,8.0
2029,Approach2_Step2,1.0,0.67,0.8,3.0
2059,Approach2_Step2,1.0,1.0,1.0,3.0
2134,Approach2_Step2,1.0,1.0,1.0,10.0
2138,Approach2_Step2,1.0,1.0,1.0,15.0
2147,Approach2_Step2,1.0,1.0,1.0,3.0
