class,classifier,precision,recall,f1_score,support
41,SVC,1.0,0.67,0.8,3.0
43,SVC,1.0,1.0,1.0,4.0
146,SVC,0.9,1.0,0.95,9.0
149,SVC,1.0,1.0,1.0,11.0
190,SVC,1.0,1.0,1.0,3.0
221,SVC,1.0,1.0,1.0,10.0
224,SVC,0.0,0.0,0.0,3.0
264,SVC,1.0,1.0,1.0,6.0
279,SVC,0.89,1.0,0.94,8.0
299,SVC,1.0,1.0,1.0,7.0
321,SVC,1.0,1.0,1.0,3.0
568,SVC,1.0,0.8,0.89,10.0
570,SVC,1.0,0.5,0.67,2.0
623,SVC,0.88,1.0,0.93,7.0
650,SVC,1.0,0.8,0.89,5.0
662,SVC,1.0,1.0,1.0,4.0
686,SVC,0.9,1.0,0.95,9.0
718,SVC,1.0,1.0,1.0,4.0
818,SVC,1.0,1.0,1.0,4.0
824,SVC,1.0,0.33,0.5,3.0
851,SVC,1.0,1.0,1.0,7.0
852,SVC,1.0,0.83,0.91,6.0
878,SVC,1.0,1.0,1.0,5.0
900,SVC,0.8,1.0,0.89,4.0
963,SVC,1.0,0.83,0.91,6.0
1075,SVC,1.0,1.0,1.0,6.0
1076,SVC,1.0,0.91,0.95,11.0
1094,SVC,1.0,1.0,1.0,6.0
1095,SVC,1.0,1.0,1.0,7.0
1141,SVC,1.0,0.88,0.93,8.0
1170,SVC,1.0,0.8,0.89,5.0
1240,SVC,1.0,1.0,1.0,6.0
1302,SVC,1.0,0.9,0.95,10.0
1446,SVC,1.0,1.0,1.0,9.0
1497,SVC,1.0,1.0,1.0,9.0
1513,SVC,1.0,0.5,0.67,2.0
1559,SVC,1.0,1.0,1.0,6.0
1769,SVC,1.0,1.0,1.0,12.0
1770,SVC,1.0,0.89,0.94,18.0
1771,SVC,1.0,1.0,1.0,8.0
1875,SVC,1.0,1.0,1.0,6.0
1892,SVC,1.0,1.0,1.0,3.0
1907,SVC,1.0,1.0,1.0,3.0
1912,SVC,1.0,0.71,0.83,7.0
1939,SVC,1.0,0.67,0.8,3.0
1952,SVC,1.0,1.0,1.0,3.0
1968,SVC,1.0,1.0,1.0,6.0
2005,SVC,0.82,1.0,0.9,9.0
2029,SVC,1.0,1.0,1.0,4.0
2059,SVC,1.0,1.0,1.0,4.0
2134,SVC,1.0,1.0,1.0,11.0
2138,SVC,1.0,1.0,1.0,16.0
2147,SVC,1.0,1.0,1.0,4.0
2152,SVC,0.0,0.0,0.0,4.0
2189,SVC,0.67,1.0,0.8,2.0
2191,SVC,1.0,1.0,1.0,3.0
2208,SVC,1.0,0.8,0.89,5.0
2276,SVC,1.0,1.0,1.0,3.0
2365,SVC,1.0,1.0,1.0,7.0
2399,SVC,1.0,1.0,1.0,3.0
2807,SVC,1.0,1.0,1.0,4.0
2808,SVC,1.0,1.0,1.0,10.0
