class,classifier,precision,recall,f1_score,support
142,RF,0.75,1.0,0.86,3.0
143,RF,1.0,1.0,1.0,4.0
218,RF,1.0,0.67,0.8,3.0
221,RF,1.0,0.67,0.8,6.0
291,RF,1.0,1.0,1.0,3.0
337,RF,1.0,0.67,0.8,3.0
339,RF,1.0,1.0,1.0,3.0
350,RF,1.0,1.0,1.0,12.0
446,RF,1.0,0.83,0.91,6.0
460,RF,1.0,0.75,0.86,8.0
468,RF,1.0,0.67,0.8,6.0
476,RF,0.33,0.33,0.33,3.0
494,RF,0.8,0.8,0.8,5.0
539,RF,0.86,1.0,0.92,6.0
540,RF,0.89,1.0,0.94,8.0
569,RF,0.75,1.0,0.86,3.0
677,RF,1.0,1.0,1.0,2.0
708,RF,1.0,1.0,1.0,3.0
743,RF,1.0,1.0,1.0,4.0
779,RF,1.0,1.0,1.0,2.0
830,RF,0.75,1.0,0.86,3.0
832,RF,0.75,0.75,0.75,4.0
865,RF,0.57,1.0,0.73,4.0
869,RF,1.0,1.0,1.0,3.0
884,RF,1.0,1.0,1.0,3.0
908,RF,1.0,1.0,1.0,4.0
969,RF,0.6,1.0,0.75,3.0
1120,RF,0.88,0.88,0.88,8.0
1176,RF,1.0,1.0,1.0,8.0
1245,RF,1.0,1.0,1.0,2.0
1247,RF,0.86,1.0,0.92,6.0
1284,RF,1.0,1.0,1.0,3.0
1358,RF,0.8,1.0,0.89,4.0
1388,RF,0.73,1.0,0.84,8.0
1400,RF,0.71,0.83,0.77,6.0
1651,RF,1.0,0.6,0.75,5.0
1848,RF,0.75,1.0,0.86,3.0
2027,RF,1.0,1.0,1.0,2.0
2141,RF,1.0,0.75,0.86,4.0
2241,RF,0.67,0.86,0.75,7.0
2242,RF,1.0,1.0,1.0,3.0
2251,RF,1.0,1.0,1.0,5.0
2515,RF,1.0,1.0,1.0,2.0
2660,RF,1.0,0.75,0.86,4.0
2661,RF,1.0,1.0,1.0,5.0
2707,RF,1.0,1.0,1.0,3.0
2751,RF,1.0,0.75,0.86,4.0
2845,RF,1.0,1.0,1.0,3.0
2875,RF,1.0,1.0,1.0,3.0
2896,RF,1.0,1.0,1.0,2.0
2996,RF,0.75,1.0,0.86,3.0
3010,RF,1.0,1.0,1.0,7.0
3074,RF,0.89,1.0,0.94,8.0
3123,RF,1.0,1.0,1.0,6.0
3129,RF,1.0,0.86,0.92,7.0
3155,RF,0.8,0.8,0.8,5.0
3157,RF,1.0,1.0,1.0,6.0
3210,RF,1.0,1.0,1.0,4.0
3222,RF,1.0,1.0,1.0,2.0
3252,RF,1.0,1.0,1.0,3.0
3335,RF,1.0,1.0,1.0,4.0
3360,RF,1.0,1.0,1.0,6.0
3376,RF,1.0,0.5,0.67,2.0
3425,RF,0.86,1.0,0.92,6.0
3426,RF,1.0,1.0,1.0,4.0
3470,RF,1.0,1.0,1.0,3.0
3480,RF,1.0,1.0,1.0,8.0
3486,RF,0.5,1.0,0.67,2.0
3559,RF,1.0,1.0,1.0,3.0
3579,RF,1.0,1.0,1.0,2.0
3667,RF,1.0,1.0,1.0,5.0
3697,RF,1.0,1.0,1.0,3.0
3698,RF,1.0,0.67,0.8,3.0
3703,RF,1.0,1.0,1.0,6.0
3708,RF,0.6,1.0,0.75,3.0
3842,RF,1.0,1.0,1.0,7.0
4057,RF,0.0,0.0,0.0,2.0
4076,RF,1.0,1.0,1.0,4.0
4078,RF,1.0,1.0,1.0,6.0
4117,RF,0.4,0.67,0.5,3.0
4256,RF,1.0,0.67,0.8,3.0
4308,RF,1.0,0.75,0.86,4.0
4368,RF,1.0,0.71,0.83,7.0
4390,RF,1.0,1.0,1.0,8.0
4435,RF,0.0,0.0,0.0,2.0
4508,RF,0.75,1.0,0.86,3.0
4517,RF,0.0,0.0,0.0,3.0
4547,RF,1.0,1.0,1.0,4.0
4634,RF,1.0,0.67,0.8,3.0
4648,RF,0.83,1.0,0.91,5.0
4855,RF,0.75,1.0,0.86,3.0
4864,RF,0.89,1.0,0.94,8.0
4883,RF,1.0,1.0,1.0,7.0
4888,RF,0.2,0.5,0.29,2.0
4890,RF,0.0,0.0,0.0,2.0
4896,RF,1.0,0.75,0.86,4.0
4929,RF,1.0,1.0,1.0,4.0
5164,RF,1.0,0.5,0.67,2.0
5204,RF,0.67,1.0,0.8,2.0
5219,RF,0.75,1.0,0.86,3.0
5247,RF,0.83,1.0,0.91,5.0
5267,RF,1.0,1.0,1.0,6.0
5337,RF,1.0,1.0,1.0,3.0
5406,RF,1.0,0.75,0.86,4.0
5479,RF,1.0,1.0,1.0,8.0
5496,RF,1.0,1.0,1.0,4.0
5518,RF,1.0,1.0,1.0,2.0
5677,RF,1.0,1.0,1.0,3.0
5734,RF,0.8,1.0,0.89,4.0
5812,RF,0.88,0.88,0.88,8.0
5980,RF,0.83,1.0,0.91,5.0
6135,RF,1.0,0.5,0.67,4.0
6183,RF,0.6,0.75,0.67,4.0
6278,RF,0.88,0.78,0.82,9.0
6303,RF,1.0,1.0,1.0,4.0
6319,RF,1.0,1.0,1.0,6.0
6321,RF,0.5,1.0,0.67,2.0
6336,RF,1.0,1.0,1.0,4.0
6453,RF,0.6,1.0,0.75,3.0
6466,RF,1.0,0.33,0.5,3.0
6927,RF,0.75,0.75,0.75,4.0
8091,RF,0.75,1.0,0.86,3.0
8404,RF,1.0,1.0,1.0,4.0
8833,RF,0.75,1.0,0.86,3.0
8941,RF,1.0,1.0,1.0,2.0
