class,classifier,precision,recall,f1_score,support
41,RF,1.0,0.67,0.8,3.0
43,RF,1.0,0.67,0.8,3.0
146,RF,1.0,1.0,1.0,9.0
149,RF,0.83,1.0,0.91,10.0
190,RF,1.0,1.0,1.0,3.0
221,RF,1.0,1.0,1.0,9.0
224,RF,0.0,0.0,0.0,3.0
264,RF,1.0,0.4,0.57,5.0
279,RF,1.0,1.0,1.0,8.0
299,RF,1.0,1.0,1.0,7.0
321,RF,1.0,1.0,1.0,2.0
568,RF,0.91,1.0,0.95,10.0
570,RF,1.0,1.0,1.0,2.0
623,RF,1.0,1.0,1.0,6.0
650,RF,0.75,0.75,0.75,4.0
662,RF,1.0,1.0,1.0,4.0
686,RF,1.0,1.0,1.0,8.0
718,RF,1.0,1.0,1.0,4.0
818,RF,1.0,0.67,0.8,3.0
824,RF,1.0,0.5,0.67,2.0
851,RF,1.0,0.83,0.91,6.0
852,RF,1.0,1.0,1.0,6.0
878,RF,1.0,0.6,0.75,5.0
900,RF,0.75,1.0,0.86,3.0
963,RF,1.0,1.0,1.0,6.0
1075,RF,1.0,0.8,0.89,5.0
1076,RF,1.0,1.0,1.0,11.0
1094,RF,1.0,0.8,0.89,5.0
1095,RF,0.88,1.0,0.93,7.0
1141,RF,1.0,1.0,1.0,8.0
1170,RF,1.0,1.0,1.0,4.0
1240,RF,1.0,1.0,1.0,5.0
1302,RF,0.91,1.0,0.95,10.0
1446,RF,1.0,1.0,1.0,9.0
1497,RF,1.0,1.0,1.0,9.0
1513,RF,1.0,1.0,1.0,2.0
1559,RF,1.0,0.83,0.91,6.0
1769,RF,1.0,1.0,1.0,11.0
1770,RF,1.0,1.0,1.0,18.0
1771,RF,0.88,1.0,0.93,7.0
1875,RF,1.0,1.0,1.0,5.0
1892,RF,1.0,0.67,0.8,3.0
1907,RF,1.0,1.0,1.0,3.0
1912,RF,0.75,0.86,0.8,7.0
1939,RF,1.0,1.0,1.0,2.0
1952,RF,1.0,1.0,1.0,2.0
1968,RF,1.0,1.0,1.0,6.0
2005,RF,0.82,1.0,0.9,9.0
2029,RF,1.0,1.0,1.0,4.0
2059,RF,1.0,0.67,0.8,3.0
2134,RF,1.0,1.0,1.0,10.0
2138,RF,1.0,1.0,1.0,15.0
2147,RF,1.0,1.0,1.0,3.0
2152,RF,0.0,0.0,0.0,3.0
2189,RF,1.0,0.5,0.67,2.0
2191,RF,0.67,1.0,0.8,2.0
2208,RF,1.0,0.8,0.89,5.0
2276,RF,1.0,0.5,0.67,2.0
2365,RF,1.0,1.0,1.0,6.0
2399,RF,1.0,1.0,1.0,2.0
2807,RF,1.0,0.75,0.86,4.0
2808,RF,0.9,1.0,0.95,9.0
2824,RF,1.0,1.0,1.0,4.0
2829,RF,1.0,0.86,0.92,7.0
2845,RF,1.0,1.0,1.0,13.0
2847,RF,1.0,1.0,1.0,7.0
2857,RF,1.0,1.0,1.0,3.0
2865,RF,0.64,1.0,0.78,9.0
2868,RF,0.88,1.0,0.93,7.0
2874,RF,1.0,1.0,1.0,8.0
2903,RF,1.0,1.0,1.0,4.0
2932,RF,1.0,0.91,0.95,11.0
2933,RF,1.0,0.92,0.96,12.0
2941,RF,1.0,1.0,1.0,6.0
2959,RF,1.0,1.0,1.0,16.0
2967,RF,1.0,1.0,1.0,2.0
2971,RF,1.0,1.0,1.0,9.0
2978,RF,1.0,1.0,1.0,2.0
2994,RF,1.0,1.0,1.0,4.0
3043,RF,1.0,1.0,1.0,4.0
3044,RF,1.0,1.0,1.0,2.0
3061,RF,1.0,1.0,1.0,3.0
3108,RF,1.0,1.0,1.0,12.0
3147,RF,1.0,1.0,1.0,2.0
3362,RF,0.9,1.0,0.95,9.0
3368,RF,1.0,1.0,1.0,3.0
3401,RF,1.0,1.0,1.0,3.0
3402,RF,1.0,0.86,0.92,7.0
3410,RF,0.67,1.0,0.8,2.0
3458,RF,1.0,1.0,1.0,3.0
3711,RF,1.0,0.5,0.67,2.0
3730,RF,1.0,1.0,1.0,4.0
3810,RF,1.0,1.0,1.0,2.0
3841,RF,1.0,1.0,1.0,7.0
4016,RF,1.0,0.33,0.5,3.0
4041,RF,1.0,1.0,1.0,5.0
4544,RF,1.0,1.0,1.0,4.0
4570,RF,1.0,1.0,1.0,4.0
4613,RF,0.86,1.0,0.92,12.0
5210,RF,1.0,1.0,1.0,5.0
5375,RF,1.0,1.0,1.0,2.0
5589,RF,1.0,1.0,1.0,2.0
5626,RF,1.0,1.0,1.0,2.0
5700,RF,1.0,1.0,1.0,4.0
6169,RF,1.0,1.0,1.0,5.0
6185,RF,1.0,1.0,1.0,16.0
6199,RF,1.0,0.83,0.91,6.0
6205,RF,1.0,1.0,1.0,3.0
6208,RF,1.0,1.0,1.0,6.0
6247,RF,0.67,1.0,0.8,2.0
6269,RF,1.0,1.0,1.0,7.0
6290,RF,1.0,1.0,1.0,7.0
6381,RF,1.0,1.0,1.0,3.0
6612,RF,0.83,1.0,0.91,10.0
6687,RF,1.0,1.0,1.0,9.0
6793,RF,1.0,0.8,0.89,5.0
6833,RF,0.86,0.86,0.86,7.0
6847,RF,1.0,1.0,1.0,3.0
6895,RF,1.0,1.0,1.0,9.0
6903,RF,1.0,0.83,0.91,6.0
6906,RF,0.94,1.0,0.97,15.0
6907,RF,0.92,0.92,0.92,12.0
6925,RF,1.0,1.0,1.0,4.0
6933,RF,1.0,1.0,1.0,4.0
6955,RF,1.0,1.0,1.0,5.0
7108,RF,1.0,1.0,1.0,5.0
7115,RF,1.0,1.0,1.0,9.0
7125,RF,1.0,1.0,1.0,5.0
7217,RF,1.0,1.0,1.0,2.0
7218,RF,1.0,1.0,1.0,3.0
7226,RF,0.67,1.0,0.8,2.0
7363,RF,1.0,0.75,0.86,4.0
7419,RF,1.0,1.0,1.0,6.0
7421,RF,1.0,1.0,1.0,5.0
7424,RF,1.0,0.67,0.8,3.0
7427,RF,1.0,1.0,1.0,3.0
7450,RF,1.0,1.0,1.0,2.0
7464,RF,0.6,1.0,0.75,3.0
7467,RF,1.0,1.0,1.0,2.0
7522,RF,0.36,1.0,0.53,16.0
7523,RF,1.0,1.0,1.0,11.0
7528,RF,1.0,1.0,1.0,2.0
7529,RF,0.75,1.0,0.86,3.0
7530,RF,1.0,1.0,1.0,7.0
7553,RF,1.0,1.0,1.0,10.0
7557,RF,1.0,1.0,1.0,10.0
7579,RF,1.0,1.0,1.0,13.0
7604,RF,1.0,1.0,1.0,12.0
7613,RF,1.0,0.5,0.67,6.0
7618,RF,1.0,1.0,1.0,3.0
7619,RF,1.0,1.0,1.0,5.0
7632,RF,0.91,0.91,0.91,11.0
7648,RF,1.0,1.0,1.0,7.0
7723,RF,1.0,1.0,1.0,2.0
7741,RF,1.0,1.0,1.0,5.0
7788,RF,1.0,1.0,1.0,2.0
7844,RF,1.0,1.0,1.0,10.0
7927,RF,1.0,1.0,1.0,4.0
8067,RF,1.0,1.0,1.0,2.0
8127,RF,1.0,1.0,1.0,4.0
8231,RF,1.0,1.0,1.0,4.0
8267,RF,1.0,1.0,1.0,6.0
8268,RF,1.0,1.0,1.0,3.0
8291,RF,1.0,1.0,1.0,2.0
8549,RF,1.0,1.0,1.0,6.0
8724,RF,0.0,0.0,0.0,5.0
8725,RF,1.0,1.0,1.0,7.0
8748,RF,1.0,1.0,1.0,2.0
8794,RF,1.0,0.5,0.67,2.0
8907,RF,1.0,1.0,1.0,4.0
8921,RF,1.0,1.0,1.0,2.0
8941,RF,1.0,1.0,1.0,8.0
9103,RF,1.0,1.0,1.0,2.0
9129,RF,1.0,1.0,1.0,2.0
9240,RF,1.0,1.0,1.0,3.0
9311,RF,1.0,0.5,0.67,2.0
9548,RF,1.0,1.0,1.0,5.0
9566,RF,1.0,0.88,0.93,8.0
9906,RF,1.0,1.0,1.0,3.0
9912,RF,0.13,1.0,0.24,2.0
10208,RF,1.0,1.0,1.0,7.0
10238,RF,1.0,1.0,1.0,12.0
10271,RF,1.0,1.0,1.0,2.0
10333,RF,1.0,1.0,1.0,9.0
10428,RF,1.0,1.0,1.0,3.0
10537,RF,0.75,1.0,0.86,3.0
10557,RF,1.0,0.75,0.86,4.0
10587,RF,1.0,1.0,1.0,3.0
10617,RF,1.0,1.0,1.0,5.0
10852,RF,1.0,1.0,1.0,3.0
10889,RF,1.0,1.0,1.0,2.0
10902,RF,1.0,1.0,1.0,2.0
10947,RF,1.0,1.0,1.0,13.0
11271,RF,1.0,1.0,1.0,2.0
11300,RF,1.0,1.0,1.0,8.0
11333,RF,1.0,0.67,0.8,3.0
11361,RF,1.0,1.0,1.0,4.0
11527,RF,1.0,1.0,1.0,5.0
11530,RF,1.0,1.0,1.0,10.0
11549,RF,1.0,1.0,1.0,6.0
11581,RF,0.4,1.0,0.57,2.0
11587,RF,1.0,1.0,1.0,3.0
11592,RF,1.0,1.0,1.0,6.0
11595,RF,0.67,1.0,0.8,2.0
11692,RF,1.0,0.83,0.91,6.0
11743,RF,1.0,1.0,1.0,2.0
11756,RF,1.0,1.0,1.0,3.0
11765,RF,1.0,1.0,1.0,3.0
11841,RF,1.0,1.0,1.0,2.0
11931,RF,1.0,1.0,1.0,5.0
11996,RF,0.75,1.0,0.86,3.0
12043,RF,1.0,1.0,1.0,3.0
12815,RF,1.0,1.0,1.0,2.0
