class,classifier,precision,recall,f1_score,support
142,SVC,0.0,0.0,0.0,2.0
143,SVC,1.0,0.5,0.67,4.0
218,SVC,0.67,1.0,0.8,2.0
221,SVC,1.0,0.5,0.67,6.0
291,SVC,1.0,1.0,1.0,2.0
337,SVC,1.0,1.0,1.0,2.0
339,SVC,1.0,1.0,1.0,3.0
350,SVC,1.0,0.92,0.96,12.0
446,SVC,0.75,0.6,0.67,5.0
460,SVC,0.83,0.71,0.77,7.0
468,SVC,0.83,1.0,0.91,5.0
476,SVC,0.67,0.67,0.67,3.0
494,SVC,0.5,0.25,0.33,4.0
539,SVC,0.86,1.0,0.92,6.0
540,SVC,1.0,1.0,1.0,8.0
569,SVC,1.0,1.0,1.0,2.0
677,SVC,0.67,1.0,0.8,2.0
708,SVC,1.0,1.0,1.0,2.0
743,SVC,1.0,1.0,1.0,4.0
779,SVC,0.5,1.0,0.67,2.0
830,SVC,1.0,0.5,0.67,2.0
832,SVC,1.0,1.0,1.0,3.0
865,SVC,1.0,1.0,1.0,4.0
869,SVC,1.0,1.0,1.0,2.0
884,SVC,1.0,1.0,1.0,3.0
908,SVC,1.0,1.0,1.0,3.0
969,SVC,0.04,1.0,0.07,2.0
1120,SVC,1.0,0.86,0.92,7.0
1176,SVC,1.0,1.0,1.0,7.0
1245,SVC,1.0,0.5,0.67,2.0
1247,SVC,1.0,1.0,1.0,5.0
1284,SVC,1.0,0.5,0.67,2.0
1358,SVC,1.0,0.67,0.8,3.0
1388,SVC,1.0,0.88,0.93,8.0
1400,SVC,1.0,0.5,0.67,6.0
1651,SVC,0.6,0.75,0.67,4.0
1848,SVC,1.0,1.0,1.0,3.0
2027,SVC,1.0,0.5,0.67,2.0
2141,SVC,0.8,1.0,0.89,4.0
2241,SVC,0.75,1.0,0.86,6.0
2242,SVC,1.0,1.0,1.0,2.0
2251,SVC,1.0,1.0,1.0,5.0
2515,SVC,0.0,0.0,0.0,2.0
2660,SVC,1.0,1.0,1.0,3.0
2661,SVC,1.0,1.0,1.0,4.0
2707,SVC,1.0,1.0,1.0,3.0
2751,SVC,1.0,1.0,1.0,3.0
2845,SVC,1.0,1.0,1.0,3.0
2875,SVC,1.0,1.0,1.0,2.0
2896,SVC,1.0,1.0,1.0,2.0
2996,SVC,1.0,1.0,1.0,2.0
3010,SVC,0.86,1.0,0.92,6.0
3074,SVC,0.88,1.0,0.93,7.0
3123,SVC,1.0,1.0,1.0,5.0
3129,SVC,1.0,1.0,1.0,7.0
3155,SVC,1.0,1.0,1.0,4.0
3157,SVC,1.0,1.0,1.0,5.0
3210,SVC,1.0,1.0,1.0,4.0
3222,SVC,0.5,0.5,0.5,2.0
3252,SVC,1.0,1.0,1.0,2.0
3335,SVC,1.0,1.0,1.0,3.0
3360,SVC,0.71,1.0,0.83,5.0
3376,SVC,0.5,0.5,0.5,2.0
3425,SVC,1.0,1.0,1.0,5.0
3426,SVC,1.0,1.0,1.0,4.0
3470,SVC,1.0,1.0,1.0,2.0
3480,SVC,1.0,1.0,1.0,7.0
3486,SVC,1.0,1.0,1.0,2.0
3559,SVC,1.0,1.0,1.0,2.0
3579,SVC,1.0,1.0,1.0,2.0
3667,SVC,0.8,1.0,0.89,4.0
3697,SVC,0.67,1.0,0.8,2.0
3698,SVC,1.0,1.0,1.0,2.0
3703,SVC,1.0,1.0,1.0,5.0
3708,SVC,0.33,0.5,0.4,2.0
3842,SVC,1.0,1.0,1.0,6.0
4057,SVC,1.0,0.5,0.67,2.0
4076,SVC,0.67,0.67,0.67,3.0
4078,SVC,1.0,0.8,0.89,5.0
4117,SVC,1.0,0.33,0.5,3.0
4256,SVC,0.5,0.33,0.4,3.0
4308,SVC,1.0,1.0,1.0,4.0
4368,SVC,0.8,0.67,0.73,6.0
4390,SVC,1.0,1.0,1.0,7.0
4435,SVC,1.0,0.5,0.67,2.0
4508,SVC,1.0,1.0,1.0,2.0
4517,SVC,0.67,1.0,0.8,2.0
4547,SVC,1.0,1.0,1.0,4.0
4634,SVC,0.0,0.0,0.0,2.0
4648,SVC,1.0,1.0,1.0,4.0
4855,SVC,1.0,0.33,0.5,3.0
4864,SVC,1.0,0.86,0.92,7.0
4883,SVC,1.0,1.0,1.0,6.0
4888,SVC,1.0,0.5,0.67,2.0
4890,SVC,1.0,0.5,0.67,2.0
4896,SVC,0.67,0.67,0.67,3.0
4929,SVC,0.67,0.67,0.67,3.0
5164,SVC,0.67,1.0,0.8,2.0
5204,SVC,1.0,0.5,0.67,2.0
5219,SVC,1.0,0.5,0.67,2.0
5247,SVC,0.5,0.25,0.33,4.0
5267,SVC,1.0,0.6,0.75,5.0
5337,SVC,1.0,1.0,1.0,3.0
5406,SVC,1.0,1.0,1.0,3.0
5479,SVC,1.0,0.88,0.93,8.0
5496,SVC,1.0,0.75,0.86,4.0
5518,SVC,1.0,1.0,1.0,2.0
5677,SVC,1.0,0.67,0.8,3.0
5734,SVC,0.6,1.0,0.75,3.0
5812,SVC,0.88,1.0,0.93,7.0
5980,SVC,1.0,1.0,1.0,4.0
6135,SVC,1.0,0.33,0.5,3.0
6183,SVC,0.75,1.0,0.86,3.0
6278,SVC,1.0,0.62,0.77,8.0
6303,SVC,1.0,0.33,0.5,3.0
6319,SVC,0.86,1.0,0.92,6.0
6321,SVC,1.0,1.0,1.0,2.0
6336,SVC,1.0,1.0,1.0,3.0
6453,SVC,1.0,0.67,0.8,3.0
6466,SVC,1.0,1.0,1.0,2.0
6927,SVC,0.67,0.67,0.67,3.0
8091,SVC,0.0,0.0,0.0,2.0
8404,SVC,1.0,1.0,1.0,3.0
8833,SVC,1.0,1.0,1.0,2.0
8941,SVC,1.0,0.5,0.67,2.0
9677,SVC,1.0,1.0,1.0,3.0
10034,SVC,1.0,0.5,0.67,2.0
10094,SVC,1.0,1.0,1.0,2.0
10107,SVC,1.0,0.67,0.8,3.0
10153,SVC,0.0,0.0,0.0,2.0
10176,SVC,1.0,0.67,0.8,3.0
10222,SVC,1.0,0.67,0.8,3.0
10248,SVC,1.0,1.0,1.0,4.0
10367,SVC,1.0,0.5,0.67,2.0
10410,SVC,1.0,1.0,1.0,7.0
10445,SVC,1.0,1.0,1.0,3.0
10522,SVC,1.0,1.0,1.0,6.0
10616,SVC,1.0,0.5,0.67,2.0
10832,SVC,1.0,1.0,1.0,2.0
10971,SVC,0.75,1.0,0.86,3.0
10974,SVC,1.0,1.0,1.0,2.0
11006,SVC,1.0,1.0,1.0,2.0
11029,SVC,1.0,1.0,1.0,2.0
11053,SVC,0.14,0.33,0.2,3.0
11074,SVC,1.0,1.0,1.0,2.0
11112,SVC,1.0,1.0,1.0,2.0
11143,SVC,1.0,0.75,0.86,4.0
11205,SVC,1.0,1.0,1.0,2.0
11212,SVC,0.0,0.0,0.0,2.0
11275,SVC,1.0,1.0,1.0,3.0
11295,SVC,1.0,1.0,1.0,3.0
11896,SVC,1.0,0.5,0.67,2.0
12321,SVC,1.0,0.5,0.67,2.0
12681,SVC,1.0,1.0,1.0,2.0
12942,SVC,1.0,1.0,1.0,5.0
13081,SVC,1.0,1.0,1.0,3.0
13436,SVC,1.0,1.0,1.0,2.0
14452,SVC,1.0,1.0,1.0,3.0
14470,SVC,1.0,1.0,1.0,2.0
14814,SVC,1.0,1.0,1.0,5.0
14918,SVC,1.0,0.5,0.67,2.0
15566,SVC,1.0,1.0,1.0,4.0
16464,SVC,0.33,0.33,0.33,3.0
16931,SVC,0.67,1.0,0.8,2.0
18190,SVC,1.0,0.8,0.89,5.0
18426,SVC,1.0,1.0,1.0,4.0
18564,SVC,1.0,0.83,0.91,6.0
18623,SVC,1.0,1.0,1.0,2.0
18768,SVC,1.0,0.75,0.86,4.0
19082,SVC,1.0,1.0,1.0,5.0
19285,SVC,1.0,1.0,1.0,3.0
19293,SVC,1.0,1.0,1.0,2.0
19378,SVC,1.0,1.0,1.0,5.0
19531,SVC,1.0,1.0,1.0,2.0
19565,SVC,1.0,1.0,1.0,2.0
19665,SVC,1.0,1.0,1.0,2.0
19709,SVC,1.0,1.0,1.0,6.0
19755,SVC,0.86,1.0,0.92,6.0
19807,SVC,1.0,0.33,0.5,3.0
19857,SVC,1.0,1.0,1.0,2.0
20104,SVC,1.0,1.0,1.0,2.0
22142,SVC,1.0,0.75,0.86,4.0
25406,SVC,1.0,1.0,1.0,2.0
25459,SVC,1.0,1.0,1.0,2.0
26856,SVC,1.0,1.0,1.0,2.0
28375,SVC,1.0,1.0,1.0,4.0
28399,SVC,1.0,1.0,1.0,2.0
28406,SVC,1.0,1.0,1.0,2.0
29105,SVC,0.86,1.0,0.92,6.0
30006,SVC,1.0,1.0,1.0,2.0
32389,SVC,1.0,1.0,1.0,2.0
33495,SVC,1.0,0.5,0.67,2.0
33782,SVC,0.67,1.0,0.8,2.0
33834,SVC,0.0,0.0,0.0,2.0
36075,SVC,1.0,1.0,1.0,2.0
36712,SVC,1.0,1.0,1.0,2.0
37398,SVC,1.0,1.0,1.0,2.0
38089,SVC,1.0,1.0,1.0,2.0
38364,SVC,0.8,1.0,0.89,4.0
38481,SVC,1.0,1.0,1.0,4.0
38515,SVC,1.0,1.0,1.0,4.0
38546,SVC,1.0,1.0,1.0,4.0
38681,SVC,1.0,1.0,1.0,3.0
38818,SVC,1.0,1.0,1.0,2.0
39016,SVC,1.0,1.0,1.0,2.0
39547,SVC,1.0,1.0,1.0,2.0
39557,SVC,1.0,1.0,1.0,3.0
39561,SVC,1.0,1.0,1.0,2.0
39613,SVC,1.0,1.0,1.0,5.0
39622,SVC,1.0,1.0,1.0,2.0
39628,SVC,1.0,1.0,1.0,3.0
39631,SVC,1.0,0.5,0.67,2.0
39648,SVC,1.0,0.86,0.92,7.0
39723,SVC,0.75,1.0,0.86,3.0
41577,SVC,1.0,0.5,0.67,2.0
45244,SVC,1.0,1.0,1.0,2.0
47987,SVC,1.0,1.0,1.0,2.0
48534,SVC,1.0,1.0,1.0,2.0
48657,SVC,0.5,0.5,0.5,2.0
49101,SVC,1.0,1.0,1.0,2.0
49103,SVC,1.0,1.0,1.0,4.0
49804,SVC,1.0,1.0,1.0,2.0
49918,SVC,1.0,1.0,1.0,4.0
56524,SVC,0.67,1.0,0.8,2.0
57158,SVC,0.67,1.0,0.8,2.0
59959,SVC,1.0,1.0,1.0,2.0
69144,SVC,1.0,1.0,1.0,2.0
69181,SVC,1.0,0.5,0.67,2.0
69729,SVC,1.0,1.0,1.0,2.0
71244,SVC,1.0,0.5,0.67,2.0
82947,SVC,1.0,1.0,1.0,2.0
84943,SVC,1.0,1.0,1.0,2.0
87275,SVC,1.0,0.5,0.67,2.0
89850,SVC,1.0,1.0,1.0,3.0
89958,SVC,1.0,1.0,1.0,3.0
90754,SVC,1.0,1.0,1.0,2.0
100174,SVC,1.0,1.0,1.0,5.0
100470,SVC,1.0,1.0,1.0,2.0
101542,SVC,1.0,0.5,0.67,2.0
102640,SVC,1.0,1.0,1.0,2.0
102829,SVC,1.0,0.33,0.5,3.0
102869,SVC,1.0,1.0,1.0,2.0
103387,SVC,1.0,1.0,1.0,4.0
103549,SVC,1.0,1.0,1.0,2.0
103737,SVC,1.0,1.0,1.0,3.0
103840,SVC,1.0,1.0,1.0,2.0
103924,SVC,0.86,1.0,0.92,6.0
104139,SVC,1.0,1.0,1.0,2.0
104312,SVC,1.0,1.0,1.0,6.0
104758,SVC,1.0,1.0,1.0,2.0
104769,SVC,0.75,1.0,0.86,3.0
104921,SVC,1.0,1.0,1.0,2.0
105825,SVC,1.0,1.0,1.0,2.0
106123,SVC,1.0,1.0,1.0,4.0
106154,SVC,1.0,1.0,1.0,3.0
106163,SVC,1.0,1.0,1.0,2.0
106541,SVC,1.0,1.0,1.0,3.0
107009,SVC,1.0,1.0,1.0,2.0
107182,SVC,1.0,1.0,1.0,2.0
107206,SVC,0.67,1.0,0.8,2.0
107623,SVC,0.67,1.0,0.8,2.0
108117,SVC,1.0,1.0,1.0,4.0
108131,SVC,1.0,1.0,1.0,4.0
108841,SVC,1.0,1.0,1.0,2.0
109625,SVC,1.0,0.75,0.86,4.0
110523,SVC,0.57,0.8,0.67,5.0
110953,SVC,1.0,1.0,1.0,2.0
110975,SVC,1.0,1.0,1.0,2.0
111979,SVC,1.0,1.0,1.0,2.0
113194,SVC,1.0,1.0,1.0,4.0
113411,SVC,1.0,1.0,1.0,5.0
116441,SVC,1.0,0.33,0.5,3.0
118449,SVC,1.0,1.0,1.0,2.0
119314,SVC,1.0,1.0,1.0,2.0
119425,SVC,1.0,1.0,1.0,2.0
119431,SVC,1.0,0.8,0.89,5.0
121146,SVC,1.0,1.0,1.0,2.0
121970,SVC,1.0,1.0,1.0,2.0
122357,SVC,1.0,0.5,0.67,2.0
124101,SVC,1.0,1.0,1.0,3.0
124512,SVC,1.0,1.0,1.0,2.0
124522,SVC,1.0,1.0,1.0,2.0
124727,SVC,1.0,1.0,1.0,4.0
124868,SVC,1.0,1.0,1.0,2.0
125164,SVC,1.0,1.0,1.0,2.0
126312,SVC,1.0,0.5,0.67,2.0
128114,SVC,1.0,1.0,1.0,3.0
128268,SVC,1.0,1.0,1.0,3.0
129273,SVC,1.0,1.0,1.0,2.0
129893,SVC,1.0,1.0,1.0,2.0
132468,SVC,1.0,1.0,1.0,3.0
133891,SVC,1.0,1.0,1.0,3.0
136385,SVC,1.0,1.0,1.0,4.0
139378,SVC,1.0,1.0,1.0,2.0
142661,SVC,1.0,1.0,1.0,3.0
148505,SVC,0.0,0.0,0.0,2.0
149121,SVC,1.0,1.0,1.0,2.0
153026,SVC,1.0,1.0,1.0,2.0
157210,SVC,1.0,0.5,0.67,2.0
168955,SVC,1.0,1.0,1.0,2.0
