class,classifier,precision,recall,f1_score,support
142,Approach2_Step4,1.0,1.0,1.0,3.0
143,Approach2_Step4,1.0,0.75,0.86,4.0
218,Approach2_Step4,0.67,0.67,0.67,3.0
221,Approach2_Step4,0.86,1.0,0.92,6.0
291,Approach2_Step4,0.6,1.0,0.75,3.0
337,Approach2_Step4,0.67,0.67,0.67,3.0
339,Approach2_Step4,1.0,1.0,1.0,4.0
350,Approach2_Step4,0.71,0.83,0.77,12.0
446,Approach2_Step4,0.62,0.83,0.71,6.0
460,Approach2_Step4,1.0,1.0,1.0,8.0
468,Approach2_Step4,1.0,0.83,0.91,6.0
476,Approach2_Step4,0.75,0.75,0.75,4.0
494,Approach2_Step4,1.0,0.4,0.57,5.0
539,Approach2_Step4,0.71,0.83,0.77,6.0
540,Approach2_Step4,1.0,1.0,1.0,9.0
569,Approach2_Step4,0.75,1.0,0.86,3.0
677,Approach2_Step4,1.0,1.0,1.0,2.0
708,Approach2_Step4,1.0,1.0,1.0,3.0
743,Approach2_Step4,0.67,1.0,0.8,4.0
779,Approach2_Step4,1.0,0.5,0.67,2.0
830,Approach2_Step4,1.0,1.0,1.0,3.0
832,Approach2_Step4,1.0,0.75,0.86,4.0
865,Approach2_Step4,0.75,0.75,0.75,4.0
869,Approach2_Step4,1.0,1.0,1.0,3.0
884,Approach2_Step4,0.67,1.0,0.8,4.0
908,Approach2_Step4,1.0,1.0,1.0,4.0
969,Approach2_Step4,0.1,1.0,0.18,3.0
1120,Approach2_Step4,0.89,1.0,0.94,8.0
1176,Approach2_Step4,1.0,1.0,1.0,8.0
1245,Approach2_Step4,1.0,1.0,1.0,2.0
1247,Approach2_Step4,1.0,1.0,1.0,6.0
1284,Approach2_Step4,0.5,0.67,0.57,3.0
1358,Approach2_Step4,1.0,0.75,0.86,4.0
1388,Approach2_Step4,1.0,0.62,0.77,8.0
1400,Approach2_Step4,0.83,0.83,0.83,6.0
1651,Approach2_Step4,0.83,1.0,0.91,5.0
1848,Approach2_Step4,1.0,1.0,1.0,4.0
2027,Approach2_Step4,1.0,1.0,1.0,3.0
2141,Approach2_Step4,1.0,0.8,0.89,5.0
2241,Approach2_Step4,0.62,0.71,0.67,7.0
2242,Approach2_Step4,1.0,1.0,1.0,3.0
2251,Approach2_Step4,1.0,1.0,1.0,5.0
2515,Approach2_Step4,0.33,0.5,0.4,2.0
2660,Approach2_Step4,1.0,0.75,0.86,4.0
2661,Approach2_Step4,0.83,1.0,0.91,5.0
2707,Approach2_Step4,1.0,1.0,1.0,3.0
2751,Approach2_Step4,1.0,1.0,1.0,4.0
2845,Approach2_Step4,1.0,1.0,1.0,3.0
