method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-specific,2020-07-05 19:02:25.680715,26.053175765260942,0.07262804366078925,0.1910159529806885,0.020952003946543868,0.03377872879933101,0.039093064339799935,1.0,16.00317646885876,0.05595408895265423,0.16212338593974174,0.014194964462391315,0.01679002793940214,0.03255613126079447,1.0
OURS,2.0,MARC-specific,2020-07-05 19:02:33.765202,11.136560000460454,0.16918555835432408,0.32913518052057095,0.06625325435774326,0.09155349930109198,0.10206563048730473,1.0,7.26218417795693,0.14203730272596843,0.2883787661406026,0.045182802395754985,0.04639829677822462,0.08790196562217285,1.0
OURS,3.0,MARC-specific,2020-07-05 19:02:41.908523,5.792988796378263,0.3446683459277918,0.5709487825356843,0.20664351072656917,0.2596401416927803,0.2478125242885265,1.0,4.3132979442262585,0.3098995695839311,0.5136298421807748,0.18641989544869345,0.20979126969446033,0.22724525043177893,1.0
OURS,4.0,MARC-specific,2020-07-05 19:02:49.992065,3.869808330543896,0.5961376994122586,0.7926112510495382,0.46024334805955236,0.5414204949946357,0.4853862156084682,1.0,2.8684851394664266,0.533715925394548,0.7360114777618364,0.39802870323432227,0.434481744243603,0.4390698248211201,1.0
OURS,5.0,MARC-specific,2020-07-05 19:02:58.127837,2.7971605171584764,0.8232577665827037,0.9546599496221663,0.76331249193699,0.8653957824783042,0.7618433629818959,1.0,1.9122937539728677,0.7503586800573888,0.9024390243902439,0.6633618376034682,0.6984187410625917,0.6901924500370096,1.0
OURS,6.0,MARC-specific,2020-07-05 19:03:06.281196,2.0365848440167085,0.9357682619647355,0.9844668345927792,0.9161513650109873,0.9520834341870593,0.9105619625049677,1.0,1.315305231804485,0.8809182209469153,0.9626972740315638,0.8395757955343448,0.8702245683292861,0.8464964224031581,1.0
OURS,7.0,MARC-specific,2020-07-05 19:03:14.434595,1.4200346282707554,0.9727120067170445,0.9962216624685138,0.9651154347894759,0.976173973750104,0.9619920307096473,1.0,0.9369977297023516,0.926829268292683,0.9813486370157819,0.9062762654731567,0.9293383501932726,0.9108314828522082,1.0
OURS,8.0,MARC-specific,2020-07-05 19:03:22.520612,1.0403103613733344,0.9903442485306465,0.9979009235936188,0.9872572757285095,0.990474084231323,0.9860790547966714,1.0,0.6451077504000671,0.9670014347202296,0.9899569583931134,0.957442988790139,0.965328151986183,0.9610905502097213,1.0
OURS,9.0,MARC-specific,2020-07-05 19:03:30.623843,0.7252880135671518,0.9962216624685138,0.9987405541561712,0.9951759091526332,0.996170405672082,0.9947262581977607,1.0,0.4803375869433541,0.9741750358680057,0.9913916786226685,0.966764553811186,0.9759314088329631,0.9690352825067851,1.0
OURS,10.0,MARC-specific,2020-07-05 19:03:38.801256,0.5562404743470033,0.9979009235936188,0.9995801847187238,0.9973984588825322,0.9980328659961394,0.9970678285445125,1.0,0.3872128535206383,0.9842180774748924,0.9956958393113343,0.9783616498642406,0.981433506044905,0.9802615346656798,1.0
