method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-geo_only,2020-07-05 16:44:59.665685,20.072282550539786,0.12705667276051189,0.28884826325411334,0.04677960512012181,0.05083097580735242,0.07598538719672074,1.0,8.659181526800518,0.11227701993704092,0.28961175236096537,0.03688951304377662,0.03500917747867011,0.06387698412698413,1.0
OURS,2.0,MARC-geo_only,2020-07-05 16:45:02.425708,6.155368095342158,0.28016453382084094,0.5109689213893968,0.1643995426516703,0.19264455702654168,0.2046577765648534,1.0,4.363134404169425,0.2728226652675761,0.4900314795383001,0.1427896617049319,0.14448735487111847,0.18926984126984128,1.0
OURS,3.0,MARC-geo_only,2020-07-05 16:45:05.167544,4.221201128671984,0.43578610603290674,0.6855575868372943,0.3157571373755629,0.34805744478189754,0.35988895475465826,1.0,3.158445349269999,0.4218258132214061,0.6684155299055614,0.28870130665931226,0.2827802751227674,0.34127777777777774,1.0
OURS,4.0,MARC-geo_only,2020-07-05 16:45:07.918993,3.447681208197334,0.5601005484460695,0.7790219378427788,0.44527050150511693,0.4825856029063532,0.48779596110656304,1.0,2.510746675173108,0.5477439664218258,0.7555089192025184,0.4242348885682219,0.42384311449656714,0.4733015873015873,1.0
OURS,5.0,MARC-geo_only,2020-07-05 16:45:10.685616,2.9455236678149626,0.636654478976234,0.8249542961608776,0.5428325079394631,0.5902576073618848,0.5710745260742228,1.0,2.121282026374953,0.6012591815320042,0.7974816369359916,0.501975977298984,0.5038338453485512,0.5397142857142857,1.0
OURS,6.0,MARC-geo_only,2020-07-05 16:45:13.420344,2.6046633916537547,0.6905850091407678,0.8606032906764168,0.6151112456234342,0.6631729665804877,0.64001732473561,1.0,1.857054556404306,0.6526757607555089,0.8300104931794333,0.5683445260642899,0.580529773929774,0.6001666666666666,1.0
OURS,7.0,MARC-geo_only,2020-07-05 16:45:16.203914,2.318902875431277,0.725091407678245,0.8763711151736746,0.6632197715456393,0.7089029010116972,0.6820451476572946,1.0,1.6722569848407853,0.6841552990556139,0.8583420776495279,0.6100970778121336,0.6356640636052401,0.6376111111111111,1.0
OURS,8.0,MARC-geo_only,2020-07-05 16:45:18.951196,2.124017569439067,0.7536563071297989,0.895109689213894,0.6975529264793122,0.7400669794379854,0.7165095278889417,1.0,1.558495245850474,0.7051416579223505,0.8677859391395593,0.6290245245972127,0.6445695184445185,0.6585238095238095,1.0
OURS,9.0,MARC-geo_only,2020-07-05 16:45:21.724848,1.9770524480007248,0.7801645338208409,0.9049360146252285,0.7309300313712902,0.7706087026114197,0.7436072666180072,1.0,1.449410841197307,0.7324239244491081,0.8803777544596013,0.6650508705590382,0.68647434139075,0.6870555555555555,1.0
OURS,10.0,MARC-geo_only,2020-07-05 16:45:24.516847,1.8698884739082517,0.791819012797075,0.9179616087751371,0.7483621236157725,0.7888154651289909,0.7604872225850018,1.0,1.368559487844189,0.7544596012591815,0.8887722980062959,0.6911611604700415,0.7082712256067519,0.7141944444444445,1.0
