method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-geo_only,2020-07-05 15:40:00.526377,16.141042307771237,0.32626165220186437,0.5405014464802315,0.14602376211850354,0.15167078734488443,0.18013463705368882,1.0,5.344092061069324,0.31497927767910006,0.5251628182356424,0.14269746794224267,0.15418579010829295,0.17925374162874164,1.0
OURS,2.0,MARC-geo_only,2020-07-05 15:40:04.764733,4.0770626349374055,0.6129861780777885,0.8061716489874639,0.4070754502711655,0.43964237405430995,0.4437064564071763,1.0,2.476038382277819,0.5766725873297809,0.7880402605091771,0.3779465742044458,0.3948421227379211,0.421173951048951,1.0
OURS,3.0,MARC-geo_only,2020-07-05 15:40:09.162137,2.642456923524347,0.7717775634844102,0.9117647058823529,0.6297631444490662,0.6615653926725935,0.647528598550803,1.0,1.5718813933445337,0.7436352871521611,0.896388395500296,0.6014346935593127,0.617631827871895,0.6311259527509527,1.0
OURS,4.0,MARC-geo_only,2020-07-05 15:40:13.355592,1.9626923089470367,0.8349405335904854,0.9410157505625201,0.7432079391095243,0.7901830652320908,0.7512282854509335,1.0,1.156540646646205,0.8105387803433984,0.9277679100059206,0.7140601143773138,0.7277555205687559,0.7334948893698894,1.0
OURS,5.0,MARC-geo_only,2020-07-05 15:40:17.536410,1.5368630302101804,0.8796207007393121,0.9577306332369013,0.8237839728121795,0.8593319127494783,0.8231037955492148,1.0,0.9166203670208097,0.8513913558318532,0.9490822972172883,0.7853947768158277,0.8070701822687116,0.7950107531357531,1.0
OURS,6.0,MARC-geo_only,2020-07-05 15:40:22.206348,1.2882737436312948,0.9021215043394407,0.9646415943426551,0.861785602311945,0.885241124366191,0.8622926702306734,1.0,0.7557046085931338,0.881586737714624,0.9561870929544108,0.834812942482564,0.8513627783643263,0.8416662272912273,1.0
OURS,7.0,MARC-geo_only,2020-07-05 15:40:26.185292,1.1145970841306307,0.914979106396657,0.96849887495982,0.8824319115774377,0.9023270530613854,0.8846338292416372,1.0,0.6746545499284426,0.8922439313203079,0.9615156897572528,0.8532862924463103,0.867415600338201,0.861865083990084,1.0
OURS,8.0,MARC-geo_only,2020-07-05 15:40:30.363335,0.97132206970915,0.9251044680167149,0.9726775956284153,0.8994599895158495,0.914081014319756,0.8989165681137468,1.0,0.6136249967973708,0.9052693901716993,0.9621077560686797,0.8678755424290174,0.87993663792348,0.8730235273985274,1.0
OURS,9.0,MARC-geo_only,2020-07-05 15:40:34.565221,0.8830779145783989,0.9297653487624558,0.9752491160398585,0.9087878095298131,0.9208797620257659,0.9104139291676147,1.0,0.55990953580242,0.9064535227945529,0.9656601539372409,0.8766717585478225,0.89342497820439,0.8828272190772191,1.0
OURS,10.0,MARC-geo_only,2020-07-05 15:40:38.693369,0.8205439741877412,0.9316939890710383,0.976374156219865,0.9087292538790511,0.9180385086063506,0.9103193740665182,1.0,0.5239367164966974,0.911190053285968,0.9674363528715216,0.8817749670676978,0.8953501918796037,0.8876817164317162,1.0
OURS,11.0,MARC-geo_only,2020-07-05 15:40:43.402176,0.7473979317770246,0.938604950176792,0.9783027965284474,0.9140608507060383,0.922212552630358,0.9143741624614667,1.0,0.5044945045079332,0.9117821195973949,0.9674363528715216,0.8780343294706354,0.8909702288747807,0.8833618141118141,1.0
OURS,12.0,MARC-geo_only,2020-07-05 15:40:47.538843,0.6936308152995206,0.9394085503053681,0.9770170363227259,0.9188076143875249,0.927532161015302,0.9190041668732779,1.0,0.4951556846190656,0.9141503848431024,0.9674363528715216,0.884215228247552,0.8972478211655308,0.8893073778073779,1.0
OURS,13.0,MARC-geo_only,2020-07-05 15:40:51.841923,0.6626706631553015,0.9427836708453874,0.9800707168113146,0.9207181833625433,0.9247580499126309,0.9234072869310389,1.0,0.4659360205724862,0.9177027827116637,0.9692125518058022,0.8867682457015588,0.8942792665719762,0.8931197506197506,1.0
OURS,14.0,MARC-geo_only,2020-07-05 15:40:56.438197,0.6229908100108708,0.9458373513339762,0.9805528768884603,0.9264180705897731,0.9303252275057415,0.929004137017672,1.0,0.4441900327404693,0.9194789816459443,0.9680284191829485,0.8910284233082276,0.8998982274041721,0.8963934768934769,1.0
OURS,15.0,MARC-geo_only,2020-07-05 15:41:00.913476,0.5976199666639878,0.9487303117968499,0.9824815171970428,0.930625247850457,0.9364501283736874,0.932388846779647,1.0,0.4336843059534431,0.9242155121373594,0.9698046181172292,0.8986990798122175,0.9097287130081247,0.9027823657823656,1.0
