method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-specific,2020-07-05 16:19:40.676718,15.856148943875006,0.43571198971391834,0.6340405014464803,0.22477761408954033,0.24884366794965884,0.2676064636442146,1.0,4.909868330698595,0.41207815275310833,0.5979869745411486,0.21994510349959853,0.23399517474807888,0.26465334665334667,1.0
OURS,2.0,MARC-specific,2020-07-05 16:19:46.504807,3.468948181554536,0.7798135647701704,0.9027643844423016,0.6438716070036892,0.6772893418404522,0.658401138266349,1.0,1.79079494030254,0.7501480165778567,0.8833629366489046,0.6110604966589995,0.6287374290077042,0.6363119565619566,1.0
OURS,3.0,MARC-specific,2020-07-05 16:19:52.381026,1.8139598533985355,0.9093539054966249,0.9657666345226615,0.8653641241826352,0.8871672588175301,0.8649572789164341,1.0,0.9338524489800841,0.8827708703374778,0.9567791592658378,0.8201377068253302,0.8385076451326451,0.8296609131609132,1.0
OURS,4.0,MARC-specific,2020-07-05 16:19:58.219825,1.0896326715790623,0.9426229508196722,0.9776599164255866,0.9176957536748765,0.9314363038060507,0.9178237395227372,1.0,0.6252790640062521,0.9212551805802249,0.9692125518058022,0.8837875361744991,0.8975122932622931,0.8893864931364931,1.0
OURS,5.0,MARC-specific,2020-07-05 16:20:04.078507,0.7683198216527806,0.9586949533911926,0.9848923175827708,0.9453066348216259,0.9515898436451224,0.9459775338103444,1.0,0.47912464225129875,0.9366489046773239,0.9769094138543517,0.9134631660311557,0.9270192325339385,0.9177371424871426,1.0
OURS,6.0,MARC-specific,2020-07-05 16:20:09.886246,0.5885395317436299,0.9620700739312118,0.9879459980713597,0.9497995077313527,0.956651494718217,0.9510845935420869,1.0,0.40504144457686647,0.9443457667258733,0.9739490822972173,0.9249058744830715,0.9334614629614628,0.9294512247012248,1.0
OURS,7.0,MARC-specific,2020-07-05 16:20:15.698042,0.4809809477334619,0.9659273545483767,0.9906782385085182,0.9523438959088052,0.9595357131568513,0.952787979022991,1.0,0.34424445412439875,0.9473060982830077,0.9822380106571936,0.9287744747731725,0.9374535727035727,0.9319829707329708,1.0
OURS,8.0,MARC-specific,2020-07-05 16:20:21.574211,0.4019942630797251,0.9688203150112504,0.991321118611379,0.9579405536362344,0.961925165869693,0.9587401860476522,1.0,0.3317849092260488,0.9496743635287153,0.9828300769686205,0.9329812301224433,0.9410158138962487,0.9363058423058425,1.0
OURS,9.0,MARC-specific,2020-07-05 16:20:27.379764,0.3531734112402282,0.9760527161684346,0.9934104789456766,0.9669996018965814,0.9744529526465654,0.9668396458471117,1.0,0.30813224711596016,0.9561870929544108,0.9828300769686205,0.9410812347808356,0.948152720902721,0.9444871794871795,1.0
OURS,10.0,MARC-specific,2020-07-05 16:20:33.255538,0.3169222527361115,0.9813564770170363,0.993731918997107,0.9717647354786044,0.9791586922630391,0.9718270735572139,1.0,0.29584856895104605,0.9591474245115453,0.9840142095914742,0.9427688049626713,0.9491052096052097,0.944144586894587,1.0
OURS,11.0,MARC-specific,2020-07-05 16:20:39.128386,0.28504824783019567,0.9799099967855995,0.9951783992285439,0.9700013046434,0.9748115116853107,0.9726482138160283,0.0,0.2981743948603608,0.9573712255772646,0.9834221432800474,0.9440874862622608,0.9512063426769308,0.9466445868945869,0.0
OURS,12.0,MARC-specific,2020-07-05 16:20:44.947643,0.2620347771938496,0.9811957569913211,0.9971070395371263,0.9736429242196152,0.9857749590287032,0.9735972878901025,0.0,0.2826930399898102,0.9573712255772646,0.9875666074600356,0.9423648036026596,0.9477972033939777,0.9460676638176638,0.0
OURS,13.0,MARC-specific,2020-07-05 16:20:50.760207,0.23360432175262608,0.9840887174541948,0.9987142397942783,0.9780838756347845,0.9857670524757439,0.9787328901686482,1.0,0.27064099563798516,0.9591474245115453,0.9840142095914742,0.9450328912521199,0.9515405496275061,0.950060592185592,0.0
OURS,14.0,MARC-specific,2020-07-05 16:20:56.610967,0.21148731091788098,0.9916425586628094,0.9988749598199935,0.9872680492599564,0.9873652027251164,0.9884758283833606,1.0,0.26444017484810595,0.9626998223801065,0.9857904085257548,0.9515603708315356,0.9556722444222445,0.9542389601139601,1.0
OURS,15.0,MARC-specific,2020-07-05 16:21:02.406040,0.1840690877498135,0.991321118611379,0.999196399871424,0.988721774664289,0.9950964899564038,0.9880005319406727,0.0,0.2635305476583907,0.9597394908229722,0.9840142095914742,0.9431368615657747,0.9476308524808524,0.9471688542938543,0.0
OURS,16.0,MARC-specific,2020-07-05 16:21:08.331018,0.18435333960407305,0.9935711989713918,0.9995178399228544,0.9896988760941987,0.9912627347658711,0.9898971848047169,1.0,0.27505704536460573,0.9597394908229722,0.9875666074600356,0.9465339815075486,0.9523059116809116,0.9499300976800975,0.0
OURS,17.0,MARC-specific,2020-07-05 16:21:14.140902,0.16892340999636685,0.9948569591771135,0.9996785599485696,0.9934349578584113,0.9960535590927181,0.9935699763851172,1.0,0.2503616393071226,0.9626998223801065,0.9875666074600356,0.949858521215393,0.9544770044770045,0.9519704415954415,0.0
OURS,18.0,MARC-specific,2020-07-05 16:21:19.941606,0.15345118381382375,0.998392799742848,0.9998392799742848,0.9980861812681151,0.9984265907865048,0.9978973573374981,1.0,0.2509960332624019,0.9585553582001184,0.9869745411486086,0.9458949073027548,0.9499436581936582,0.9488582112332111,0.0
OURS,19.0,MARC-specific,2020-07-05 16:21:25.758399,0.14002160374009315,0.9934104789456766,1.0,0.9940307237743845,0.9967860032732756,0.9949719910371319,0.0,0.2559589032699117,0.9579632918886916,0.9846062759029012,0.9452500111156996,0.9498538683538684,0.9486371082621082,0.0
OURS,20.0,MARC-specific,2020-07-05 16:21:31.590960,0.13345140941520092,0.9977499196399872,1.0,0.9975657872259781,0.9983612158427538,0.9971512839664247,0.0,0.24773239447140286,0.9615156897572528,0.9863824748371818,0.945923410936293,0.951659692159692,0.9495861823361823,0.0
OURS,21.0,MARC-specific,2020-07-05 16:21:37.394372,0.12636482064189808,0.9974284795885567,1.0,0.9975624179200611,0.9988158176330028,0.9970255624657032,0.0,0.2463759276872559,0.9638839550029603,0.9875666074600356,0.9499203718543064,0.9524240944240944,0.9534882987382988,1.0
OURS,22.0,MARC-specific,2020-07-05 16:21:43.223535,0.1241525677896435,0.9979106396657024,1.0,0.9979594814716631,0.9989729197901048,0.997631623071764,0.0,0.2418002762195978,0.9644760213143873,0.9863824748371818,0.9523973643034351,0.9555254107490949,0.955608007733008,1.0
OURS,23.0,MARC-specific,2020-07-05 16:21:49.077263,0.11737757860867014,0.9985535197685632,1.0,0.9986324510972873,0.9992213669950739,0.9982982897384306,1.0,0.24604006675378043,0.9638839550029603,0.9875666074600356,0.9512256339929018,0.9559717134717134,0.9526450447700447,0.0
OURS,24.0,MARC-specific,2020-07-05 16:21:54.826343,0.11432142129897764,0.999196399871424,1.0,0.9992885401501879,0.9995833333333334,0.999095238095238,1.0,0.23770872668940474,0.9650680876258141,0.9863824748371818,0.9524651694677315,0.9579694944431787,0.9546357855107855,1.0
OURS,25.0,MARC-specific,2020-07-05 16:22:00.658995,0.10912430774730641,1.0,1.0,1.0,1.0,1.0,1.0,0.24174128663370495,0.9644760213143873,0.9846062759029012,0.9509788037605644,0.9565893033981271,0.9536820818070817,0.0
OURS,26.0,MARC-specific,2020-07-05 16:22:06.493950,0.10744554991317462,0.9998392799742848,1.0,0.9999178798058977,0.9998850574712643,0.9999530516431925,0.0,0.23850212247502953,0.9662522202486679,0.9840142095914742,0.954881618880647,0.9610750360750361,0.9564968966218964,1.0
OURS,27.0,MARC-specific,2020-07-05 16:22:12.354327,0.10175605364711443,1.0,1.0,1.0,1.0,1.0,0.0,0.23753993625186334,0.9668442865600947,0.9875666074600356,0.9564520988860334,0.9602787397787398,0.95783022995523,1.0
OURS,28.0,MARC-specific,2020-07-05 16:22:18.192937,0.1009655508249567,1.0,1.0,1.0,1.0,1.0,0.0,0.23637085683674697,0.9650680876258141,0.9887507400828893,0.9554421909306865,0.9609668489405332,0.9564651505901505,0.0
OURS,29.0,MARC-specific,2020-07-05 16:22:24.075351,0.09816290338307246,1.0,1.0,1.0,1.0,1.0,0.0,0.24357539424181973,0.9644760213143873,0.9857904085257548,0.9523369362708708,0.955389850889851,0.9556873728123728,0.0
OURS,30.0,MARC-specific,2020-07-05 16:22:29.919107,0.10007109941584778,1.0,1.0,1.0,1.0,1.0,0.0,0.2507605562378063,0.9632918886915335,0.9869745411486086,0.9501130576612339,0.9520008140008138,0.9548330789580791,0.0
OURS,31.0,MARC-specific,2020-07-05 16:22:35.758821,0.10000825353141614,1.0,1.0,1.0,1.0,1.0,0.0,0.2508511943637866,0.9609236234458259,0.9846062759029012,0.9480906292370196,0.9548538961038961,0.9506364468864471,0.0
OURS,32.0,MARC-specific,2020-07-05 16:22:41.601253,0.09889869887426098,1.0,1.0,1.0,1.0,1.0,0.0,0.24720094967446007,0.9632918886915335,0.985198342214328,0.949473123228196,0.9546454064454065,0.9516496743996743,0.0
OURS,33.0,MARC-specific,2020-07-05 16:22:47.431337,0.09661360739780292,1.0,1.0,1.0,1.0,1.0,0.0,0.2418656319273937,0.9668442865600947,0.9857904085257548,0.9550056755539535,0.9591787518037518,0.9575524521774522,0.0
OURS,34.0,MARC-specific,2020-07-05 16:22:53.224297,0.09320593885634344,1.0,1.0,1.0,1.0,1.0,0.0,0.24423105124540764,0.9644760213143873,0.9857904085257548,0.9517191113595679,0.9608981481481483,0.9531595950345951,0.0
OURS,35.0,MARC-specific,2020-07-05 16:22:59.031448,0.09343102628713021,1.0,1.0,1.0,1.0,1.0,0.0,0.2456166001732636,0.9650680876258141,0.9887507400828893,0.9547636689977785,0.9603438330675172,0.956340811965812,0.0
OURS,36.0,MARC-specific,2020-07-05 16:23:04.887568,0.09218510139490468,1.0,1.0,1.0,1.0,1.0,0.0,0.24273204581140412,0.9609236234458259,0.9887507400828893,0.9482987877310668,0.9546916839199447,0.9500281847781847,0.0
OURS,37.0,MARC-specific,2020-07-05 16:23:10.652854,0.09222304467045966,1.0,1.0,1.0,1.0,1.0,0.0,0.24268412978215778,0.9650680876258141,0.9881586737714624,0.9519087952161314,0.955601370851371,0.9550524521774524,0.0
OURS,38.0,MARC-specific,2020-07-05 16:23:16.516382,0.09245906923503901,1.0,1.0,1.0,1.0,1.0,0.0,0.243350969538172,0.9644760213143873,0.9869745411486086,0.9532287776192337,0.9597870370370369,0.9552429283679285,0.0
OURS,39.0,MARC-specific,2020-07-05 16:23:22.350164,0.09066675980828345,1.0,1.0,1.0,1.0,1.0,0.0,0.244958167812964,0.9632918886915335,0.9887507400828893,0.9497753483591553,0.9596867724867726,0.9508679283679282,0.0
OURS,40.0,MARC-specific,2020-07-05 16:23:28.151297,0.09024793352681469,1.0,1.0,1.0,1.0,1.0,0.0,0.2505322251537271,0.9650680876258141,0.9887507400828893,0.9516460497748962,0.9606385003885003,0.9533117114367116,0.0
