method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-specific,2020-07-05 17:28:56.118690,20.623507726037207,0.12952243125904486,0.32151471297636275,0.06868475554750622,0.08104091058614606,0.08657678695169634,1.0,9.20355040323704,0.12595097210481826,0.30008453085376163,0.07194676533717853,0.08248089390989453,0.08997883597883598,1.0
OURS,2.0,MARC-specific,2020-07-05 17:29:00.755562,6.235156468935652,0.33260974433188617,0.6010612638687892,0.20965025633109996,0.2410522379697571,0.24542089817340576,1.0,4.137052618237944,0.3153000845308538,0.5638207945900253,0.19839568469825627,0.21102772632393269,0.24179629629629631,1.0
OURS,3.0,MARC-specific,2020-07-05 17:29:05.282039,3.8464609515074653,0.583695127834057,0.8041485769416304,0.47284022983487073,0.5340546910595808,0.5021263109042964,1.0,2.7140975089165886,0.5384615384615384,0.7531699070160609,0.42497709367078246,0.43782266047167223,0.4629523809523809,1.0
OURS,4.0,MARC-specific,2020-07-05 17:29:09.910115,2.792655704565458,0.7730342498794018,0.902315484804631,0.7079969317972683,0.7635397941947599,0.7189040255692938,1.0,1.899566535413618,0.7100591715976331,0.8478444632290786,0.6230431198573463,0.6521013564751955,0.6506693121693122,1.0
OURS,5.0,MARC-specific,2020-07-05 17:29:14.464180,2.0620637814088885,0.8733719247467439,0.9505547515677761,0.8390176059786301,0.8834214146351983,0.8410029803786616,1.0,1.4361202601951155,0.7912087912087912,0.8977176669484361,0.7349992730008209,0.7626956042753256,0.7503121693121693,1.0
OURS,6.0,MARC-specific,2020-07-05 17:29:19.023200,1.5159061881464229,0.9288470815243608,0.9737095996140859,0.9108576658395701,0.9317637829936625,0.9101482657009812,1.0,1.1346054585022334,0.8436179205409975,0.9163144547759933,0.7988097499771682,0.8270400617900618,0.8086455026455026,1.0
OURS,7.0,MARC-specific,2020-07-05 17:29:23.627238,1.1206038438693027,0.9577906415822479,0.9881813796430294,0.9473571457692606,0.9603986028087187,0.9469086912680265,1.0,0.932052424673498,0.8723584108199492,0.9281487743026204,0.8423869185559858,0.8813220853220853,0.8450304232804232,1.0
OURS,8.0,MARC-specific,2020-07-05 17:29:28.227070,0.8741833108436412,0.978051133622769,0.9932465026531597,0.9732460943680317,0.980049596670325,0.9722480622953843,1.0,0.7966452834974984,0.8909551986475064,0.9425190194420964,0.8628271199667754,0.8861989676989678,0.8665383597883598,1.0
OURS,9.0,MARC-specific,2020-07-05 17:29:32.830931,0.6558110060406606,0.989387361312108,0.9968644476603956,0.987514480737946,0.9896421140727246,0.9870461627910654,1.0,0.6971184091354363,0.8985629754860525,0.9551986475063398,0.8767474941402456,0.8960711880711881,0.8793677248677247,1.0
OURS,10.0,MARC-specific,2020-07-05 17:29:37.401598,0.5078077490957704,0.9939700916546068,0.9978292329956585,0.9928947577024015,0.9936528666181595,0.9928686098523055,1.0,0.6314411788599429,0.9070160608622148,0.9602704987320372,0.885263541388491,0.9017791005291004,0.8896455026455025,1.0
