method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-geo_only,2020-07-06 00:53:10.070667,9.493079085603163,0.4269488283118125,0.7073768531802965,0.3127916450604369,0.3688408503910103,0.3614621015834082,1.0,3.3592754436855876,0.4226631604111881,0.7061917284245757,0.30598251679339383,0.3389075925843866,0.35627346771925084,1.0
OURS,2.0,MARC-geo_only,2020-07-06 00:53:49.616220,3.1503642664635256,0.7244141559062649,0.8970588235294118,0.6422718536967804,0.6913841160877497,0.6697817610035954,1.0,1.6741771293604115,0.7133636146306479,0.8991154673679178,0.6216069111962254,0.6486949226710199,0.6556909177391105,1.0
OURS,3.0,MARC-geo_only,2020-07-06 00:54:29.363830,2.0722962016411683,0.8237087517934003,0.9424916307986609,0.7732818464577738,0.8211832350016509,0.7852604221382318,1.0,1.1764154637398516,0.8159215873774803,0.9395170929954578,0.7584625278343381,0.792242813801063,0.7759244827015911,1.0
OURS,4.0,MARC-geo_only,2020-07-06 00:55:09.346020,1.6024840649436503,0.8763151602104257,0.9603060736489718,0.8425853258869443,0.8716514040926475,0.8485353659928375,1.0,0.9073158480064908,0.8685154195553431,0.9569686827635668,0.8285377244008406,0.8529635325560445,0.8375531095410614,1.0
OURS,5.0,MARC-geo_only,2020-07-06 00:55:49.439286,1.3280020061718225,0.8959827833572453,0.9670612147297943,0.872035573505187,0.8991471125740137,0.8733099987598548,1.0,0.7778227468968122,0.8835763805880946,0.9653358833373177,0.8523547632517527,0.879090998639238,0.857274006671597,1.0
OURS,6.0,MARC-geo_only,2020-07-06 00:56:29.177965,1.1553134685039292,0.9073409851745576,0.9710066953610712,0.886846473819758,0.9068668068355162,0.8883557217722465,1.0,0.6985412471863803,0.8931388955295243,0.9677265120726751,0.862828028794976,0.8822855707846912,0.8693228068228068,1.0
OURS,7.0,MARC-geo_only,2020-07-06 00:57:08.735847,1.0194126140096438,0.9211501673840268,0.9763271162123386,0.906933006777184,0.9206820023029578,0.9063576147545552,1.0,0.6253290409224471,0.9029404733444896,0.9717905809227827,0.881176845539585,0.8969908369447702,0.8863912470840181,1.0
OURS,8.0,MARC-geo_only,2020-07-06 00:57:48.512438,0.9314487542848391,0.9299976087996175,0.9777618364418939,0.9185322051469718,0.9326946850939196,0.91779205341077,1.0,0.5698654871935369,0.9122639254123834,0.9748983982787474,0.8946339147033131,0.915169541921752,0.8973665836617645,1.0
OURS,9.0,MARC-geo_only,2020-07-06 00:58:28.265792,0.8582625870839196,0.931910569105691,0.9798541367766619,0.9208615954937958,0.9349967903005096,0.9208443661664948,1.0,0.5566993836022267,0.917284245756634,0.9753765240258188,0.8996370008971796,0.9151870178111365,0.9029226685853192,1.0
OURS,10.0,MARC-geo_only,2020-07-06 00:59:08.142828,0.8040916731002968,0.9398613103778096,0.9815877570540411,0.9315104854034417,0.9389071760023427,0.9313514278811508,1.0,0.5094605305463881,0.9256514463303849,0.9768109012670332,0.911808773776127,0.9256441807329568,0.9140119251565036,1.0
OURS,11.0,MARC-geo_only,2020-07-06 00:59:48.015694,0.754505945443537,0.9406384505021521,0.9829029172644668,0.9321844194955914,0.9412938582862325,0.9316272872792614,1.0,0.4943196893436556,0.9256514463303849,0.977049964140569,0.9109776207277234,0.928018102490994,0.9124954697243854,0.0
OURS,12.0,MARC-geo_only,2020-07-06 01:00:27.954034,0.7229415095918547,0.945779531324725,0.9840985174557628,0.9378715771705949,0.9452423817648475,0.9375314691239648,1.0,0.47909392048490124,0.9304327038010997,0.9780062156347119,0.9167953863763688,0.9324568123558202,0.9191991464581826,1.0
OURS,13.0,MARC-geo_only,2020-07-06 01:01:07.654348,0.6890183752487289,0.9494261119081779,0.9853538976566236,0.9425100504885705,0.9491965132946301,0.9420449747289887,1.0,0.4752069374690237,0.9318670810423141,0.9784843413817834,0.9190712002825143,0.9352062122393447,0.9208502229586567,1.0
OURS,14.0,MARC-geo_only,2020-07-06 01:01:47.411738,0.6675464244392829,0.9540889526542324,0.9864299378287901,0.9483441373597594,0.9549914508450263,0.9476901422974547,1.0,0.43267940662706866,0.9340186469041358,0.9811140329906766,0.9226227272034955,0.9359038513424635,0.9238610173851137,1.0
OURS,15.0,MARC-geo_only,2020-07-06 01:02:27.699955,0.6368378156796989,0.9546269727403156,0.9870277379244381,0.9485399340065616,0.9551148154307926,0.9472405766148638,1.0,0.43384400665931033,0.9385608415013148,0.9815921587377481,0.9282062258626488,0.9411685992302575,0.9283376763798451,1.0
OURS,16.0,MARC-geo_only,2020-07-06 01:03:07.340675,0.6215632382133599,0.9563008130081301,0.9876255380200861,0.9506130939247243,0.9570322944082594,0.9502359790022372,1.0,0.41958486577155285,0.9395170929954578,0.9813530958642123,0.9289892691001083,0.9411942280165172,0.930103129801925,1.0
OURS,17.0,MARC-geo_only,2020-07-06 01:03:47.096603,0.5888255252215578,0.9561214729794357,0.9885222381635581,0.9500220678582867,0.954531190281539,0.949876475809529,0.0,0.4351892697128587,0.9385608415013148,0.9808749701171408,0.926680811183802,0.9388474003684848,0.9288391494716797,0.0
