method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-generic,2020-07-05 20:34:04.217832,25.276839841313723,0.042817126850740295,0.10244097639055623,0.008252810425160384,0.0071910612890904845,0.019963506078237627,1.0,15.284485797224374,0.03620689655172414,0.09827586206896552,0.006767809797771501,0.006212944170728519,0.014927214409079693,1.0
OURS,2.0,MARC-generic,2020-07-05 20:34:11.105518,10.646063900604492,0.03561424569827931,0.12805122048819528,0.008967628016721204,0.008614837302645232,0.016798946350315504,0.0,7.24760265679195,0.032758620689655175,0.12931034482758622,0.006453476782603376,0.005132785998030717,0.013724401677769553,0.0
OURS,3.0,MARC-generic,2020-07-05 20:34:17.855891,6.066644639003368,0.06282513005202081,0.2064825930372149,0.015091417968507433,0.027327170434449436,0.030786019930665504,1.0,5.253188159548003,0.05517241379310345,0.17413793103448275,0.009365907851057976,0.014014127020401258,0.023754009375771035,1.0
OURS,4.0,MARC-generic,2020-07-05 20:34:24.776658,4.9198155027239165,0.1364545818327331,0.33013205282112845,0.05467341273669641,0.07251945542198349,0.0894570965592213,1.0,4.554614626128098,0.11896551724137931,0.2982758620689655,0.04043935265850138,0.04464389377392288,0.07176782630150506,1.0
OURS,5.0,MARC-generic,2020-07-05 20:34:31.662389,4.399816201466854,0.2184873949579832,0.44617847138855543,0.11930061481133025,0.17787172291470338,0.16343703010549634,1.0,4.169625741037829,0.18448275862068966,0.3896551724137931,0.08363678591421829,0.0894572436910959,0.1319701455711818,1.0
OURS,6.0,MARC-generic,2020-07-05 20:34:38.460881,4.135946509455528,0.29891956782713086,0.5630252100840336,0.18226717707665613,0.22669535678296016,0.2294588755263322,1.0,3.8322789973226086,0.23620689655172414,0.4689655172413793,0.1178349321201038,0.1111718558234784,0.17167530224525043,1.0
OURS,7.0,MARC-generic,2020-07-05 20:34:45.374702,3.8138904846301314,0.37214885954381755,0.6378551420568227,0.25567743386469877,0.3479229462979493,0.29899031454417163,1.0,3.6169676213428894,0.3086206896551724,0.55,0.17801550459996882,0.18099335337268252,0.23659018011349617,1.0
OURS,8.0,MARC-generic,2020-07-05 20:34:52.278237,3.6246384410392576,0.42777110844337735,0.720688275310124,0.3179582555205115,0.4028335643569961,0.35987377564331857,1.0,3.392400600170267,0.3482758620689655,0.5844827586206897,0.2210918465827279,0.22790954243163136,0.2721996052306933,1.0
OURS,9.0,MARC-generic,2020-07-05 20:34:59.187395,3.367153442206503,0.5090036014405762,0.7663065226090436,0.41155188677580734,0.518386668522091,0.4458773381046459,1.0,3.1612373368493443,0.41551724137931034,0.6258620689655172,0.2823353787417215,0.2836626901707129,0.3384900074019245,1.0
OURS,10.0,MARC-generic,2020-07-05 20:35:06.037651,3.165415996930846,0.5494197679071628,0.8059223689475791,0.4532626059629557,0.5649457240193565,0.48288744047987514,1.0,3.00837140905446,0.4396551724137931,0.6637931034482759,0.3127286441543969,0.30829863268906244,0.36908462867012093,1.0
OURS,11.0,MARC-generic,2020-07-05 20:35:12.814874,2.953886660064111,0.6062424969987995,0.8355342136854742,0.5325550562550553,0.6552746194677247,0.546415165691552,1.0,2.8339104331772904,0.4689655172413793,0.7,0.34849728343029696,0.35056309210590636,0.40181347150259067,1.0
OURS,12.0,MARC-generic,2020-07-05 20:35:19.805038,2.9095507586846687,0.6606642657062826,0.8751500600240096,0.5972373586411088,0.6961003480606345,0.6138733757301249,1.0,2.7472208656113724,0.4827586206896552,0.7189655172413794,0.3812722657815617,0.38690195814548145,0.42862077473476434,1.0
OURS,13.0,MARC-generic,2020-07-05 20:35:26.663608,2.652080596280413,0.6954781912765106,0.9039615846338536,0.6424903921763079,0.7190786015872086,0.6561557589226968,1.0,2.597937565836413,0.5103448275862069,0.7517241379310344,0.41628198742124217,0.42694619715345095,0.45915371329879107,1.0
OURS,14.0,MARC-generic,2020-07-05 20:35:33.441945,2.5790462307855577,0.7098839535814325,0.910764305722289,0.6608231335234276,0.754752629972568,0.6702622477474254,1.0,2.5056549672422737,0.5258620689655172,0.7551724137931034,0.44366675972595426,0.4825600603075378,0.4723661485319517,1.0
OURS,15.0,MARC-generic,2020-07-05 20:35:40.329855,2.4553872727069344,0.740296118447379,0.9247699079631853,0.6970165322416673,0.7587940328795063,0.7033951903341762,1.0,2.4072951267505514,0.5431034482758621,0.7741379310344828,0.4609906856325631,0.4761885063698535,0.49480631630890703,1.0
OURS,16.0,MARC-generic,2020-07-05 20:35:47.100636,2.420779988879249,0.7643057222889156,0.9299719887955182,0.7285123704984263,0.7931350719766612,0.7310478162561895,1.0,2.328266970453591,0.5568965517241379,0.7879310344827586,0.47550365407846273,0.49593155836679154,0.5050949913644214,1.0
OURS,17.0,MARC-generic,2020-07-05 20:35:53.932409,2.2401753546190815,0.7819127651060425,0.9391756702681072,0.7502532794235327,0.8060055928387985,0.7515482144358884,1.0,2.2382187333600276,0.5706896551724138,0.8051724137931034,0.49126380997120017,0.5240337957954538,0.517073772514187,1.0
OURS,18.0,MARC-generic,2020-07-05 20:36:00.817075,2.0676887300597424,0.7999199679871949,0.9487795118047219,0.7757912483970711,0.830033511770706,0.7749680621432572,1.0,2.1493223971333997,0.5810344827586207,0.7948275862068965,0.507306500087905,0.5355494678033539,0.5334566987416728,1.0
OURS,19.0,MARC-generic,2020-07-05 20:36:07.646172,1.9450017086931972,0.8159263705482193,0.9515806322529011,0.7933644035579075,0.8298762533788483,0.7941175943920069,1.0,2.083402929223817,0.5948275862068966,0.8,0.5201137630146757,0.5477695160337647,0.5487540093757711,1.0
OURS,20.0,MARC-generic,2020-07-05 20:36:14.541285,2.0276415264096057,0.8223289315726291,0.9543817527010804,0.8009596708594117,0.8503707901445535,0.8015039312206118,1.0,2.1729653901067274,0.6,0.803448275862069,0.5273280674313735,0.5618094340892268,0.5556131260794472,1.0
OURS,21.0,MARC-generic,2020-07-05 20:36:21.277999,2.0962410495967188,0.8375350140056023,0.957983193277311,0.8205367960842355,0.8579872144387536,0.8179152118325781,1.0,2.1164493392253743,0.6120689655172413,0.8206896551724138,0.54552301300244,0.5799785850303986,0.5709104367135455,1.0
OURS,22.0,MARC-generic,2020-07-05 20:36:28.173786,1.8631014015828193,0.8483393357342938,0.9671868747499,0.8355228794912923,0.8669972070391867,0.8318121920616698,1.0,1.953882433628214,0.6206896551724138,0.8310344827586207,0.5510130831398417,0.5871129877606561,0.577214409079694,1.0
OURS,23.0,MARC-generic,2020-07-05 20:36:35.078427,1.7162687206993392,0.8551420568227291,0.9699879951980792,0.8439589169808226,0.8697532361304048,0.8406970638020326,1.0,1.9114834641588145,0.6327586206896552,0.8189655172413793,0.5609268969372596,0.5899487098968964,0.5863681223784851,1.0
OURS,24.0,MARC-generic,2020-07-05 20:36:42.065164,1.7228922898314294,0.8731492597038816,0.9703881552621049,0.8590915316426179,0.8814733646145125,0.8575140163204119,1.0,1.89560077683679,0.6431034482758621,0.8258620689655173,0.5751405913118485,0.5962100651219823,0.6066000493461633,1.0
OURS,25.0,MARC-generic,2020-07-05 20:36:48.842881,1.7345051068504032,0.8779511804721889,0.9739895958383353,0.8672578491572335,0.8916985539790147,0.863319689026866,1.0,1.8528754300084607,0.6431034482758621,0.8275862068965517,0.5724770792890269,0.6024639436556535,0.606180606957809,0.0
