method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-geo_only,2020-07-05 18:40:12.796135,25.624022996344532,0.0508203281312525,0.11844737895158063,0.009193235347570414,0.006733948196622342,0.025067430230103067,1.0,15.357440422321188,0.04827586206896552,0.11896551724137931,0.009834590663606209,0.007190726403618814,0.02406242289661979,1.0
OURS,2.0,MARC-geo_only,2020-07-05 18:40:16.525047,10.699471851690811,0.09123649459783914,0.1948779511804722,0.022414686385505075,0.020341883357388856,0.0454173465592647,1.0,7.141159347008014,0.09655172413793103,0.19310344827586207,0.02168935139778467,0.018716054742609147,0.04497902788058229,1.0
OURS,3.0,MARC-geo_only,2020-07-05 18:40:20.302291,6.037241910542904,0.14685874349739897,0.32372949179671867,0.04726228187665648,0.04631538645471491,0.08337910895275909,1.0,4.980349063873291,0.15344827586206897,0.3310344827586207,0.047969159282684894,0.043519592658312886,0.08407352578337035,1.0
OURS,4.0,MARC-geo_only,2020-07-05 18:40:24.084263,4.85172577026416,0.20128051220488194,0.4173669467787115,0.08380099251707074,0.11420755990645212,0.1251798490848615,1.0,4.285639274531397,0.2,0.41551724137931034,0.07497688098065938,0.07093305347300138,0.11835677276091783,1.0
OURS,5.0,MARC-geo_only,2020-07-05 18:40:27.815030,4.358944063617879,0.3025210084033613,0.5582232893157263,0.17219924716614068,0.21198655265659577,0.21582625155287646,1.0,3.7424889432972877,0.296551724137931,0.5275862068965518,0.15261568632950454,0.15447053148725082,0.19932149025413276,1.0
OURS,6.0,MARC-geo_only,2020-07-05 18:40:31.616898,3.9801466641496686,0.4005602240896359,0.6746698679471789,0.2777647685541423,0.3545459111381895,0.31473792649746735,1.0,3.272862731999364,0.3724137931034483,0.6362068965517241,0.22602419347300873,0.23106626720374743,0.27591907229212925,1.0
OURS,7.0,MARC-geo_only,2020-07-05 18:40:35.350486,3.6177483599106757,0.5034013605442177,0.7454981992797118,0.3710994216210164,0.4428400115061517,0.4080181478125852,1.0,2.8586356713854033,0.4827586206896552,0.7155172413793104,0.34174312477878466,0.3608752437819701,0.38582531458179126,1.0
OURS,8.0,MARC-geo_only,2020-07-05 18:40:39.122936,3.226761556425396,0.5858343337334934,0.8075230092036815,0.46243229459380336,0.5397422319849067,0.4985460992255474,1.0,2.4781317036727377,0.5448275862068965,0.7827586206896552,0.40206544601619865,0.4253740104928767,0.44981495188749077,1.0
OURS,9.0,MARC-geo_only,2020-07-05 18:40:42.875782,2.9494369115863814,0.662264905962385,0.8551420568227291,0.55807982394873,0.6276460653111691,0.5895528724231587,1.0,2.1833076999105256,0.6344827586206897,0.8327586206896552,0.5106409862276976,0.5296280719855849,0.5557981741919567,1.0
OURS,10.0,MARC-geo_only,2020-07-05 18:40:46.667124,2.680871958158263,0.7118847539015606,0.8863545418167267,0.619235690150104,0.6818142188248962,0.6444597534754344,1.0,1.9614089567085793,0.6517241379310345,0.8482758620689655,0.5302811036456908,0.5433489222349326,0.573254379471996,1.0
OURS,11.0,MARC-geo_only,2020-07-05 18:40:50.414375,2.462729293949941,0.767907162865146,0.9159663865546218,0.6953077689280328,0.7769000067592887,0.7089481278383948,1.0,1.7240143558074688,0.7051724137931035,0.8810344827586207,0.5970548553522991,0.607591788481761,0.6358746607451271,1.0
OURS,12.0,MARC-geo_only,2020-07-05 18:40:54.176711,2.177548178199197,0.8087234893957583,0.9347739095638256,0.7553169901415858,0.8168728744758784,0.7605224279151572,1.0,1.5579924073712579,0.7482758620689656,0.8982758620689655,0.6596136651455152,0.6843015936280185,0.6890266469282014,1.0
OURS,13.0,MARC-geo_only,2020-07-05 18:40:58.003682,2.0615344297032014,0.8287314925970388,0.9423769507803121,0.7881909082236291,0.8407569572420349,0.7905605192731534,1.0,1.4542135366078082,0.7655172413793103,0.906896551724138,0.6993957245477859,0.7220879716307941,0.720540340488527,1.0
OURS,14.0,MARC-geo_only,2020-07-05 18:41:01.734253,1.9092684641224043,0.851140456182473,0.947579031612645,0.8107844623010461,0.8539021653749345,0.8191280880449281,1.0,1.3564593039709947,0.7965517241379311,0.9137931034482759,0.7402899260436276,0.7641515076748239,0.7597458672588207,1.0
OURS,15.0,MARC-geo_only,2020-07-05 18:41:05.558149,1.7968211630765512,0.8779511804721889,0.9635854341736695,0.851061578332992,0.8842454489218412,0.851047489103151,1.0,1.207939242288984,0.8086206896551724,0.9327586206896552,0.7578364819935105,0.7886503680545133,0.7724401677769555,1.0
OURS,16.0,MARC-geo_only,2020-07-05 18:41:09.295083,1.6099583318396633,0.8899559823929571,0.9631852741096438,0.8631113683280833,0.8814540596167957,0.8649278883537188,1.0,1.1498961062266908,0.8086206896551724,0.9344827586206896,0.7604919835489784,0.7794082572579982,0.7786516160868492,0.0
OURS,17.0,MARC-geo_only,2020-07-05 18:41:13.059702,1.5698853776950081,0.8891556622649059,0.9659863945578231,0.8628890021847533,0.8804994212991485,0.8662189732216424,0.0,1.0730497352008161,0.8155172413793104,0.9448275862068966,0.7615345455790442,0.7789768521633806,0.7811250925240563,1.0
OURS,18.0,MARC-geo_only,2020-07-05 18:41:16.814966,1.4509369318558722,0.9031612645058024,0.9703881552621049,0.881750114731873,0.9007238550673845,0.8826312247190733,1.0,1.0360222631487352,0.8310344827586207,0.9448275862068966,0.7951976779696986,0.821033802121885,0.8054280779669382,1.0
OURS,19.0,MARC-geo_only,2020-07-05 18:41:20.599644,1.4549750369660803,0.9139655862344938,0.9759903961584634,0.8995565116990678,0.919141439337194,0.896508733585955,1.0,0.9881333201095975,0.8310344827586207,0.946551724137931,0.7975398471283872,0.8225513835617463,0.8061189242536392,0.0
OURS,20.0,MARC-geo_only,2020-07-05 18:41:24.363257,1.3414923812256379,0.9203681472589036,0.9771908763505402,0.9055030034789067,0.9242720013189453,0.9034638374939543,1.0,0.922309999630369,0.85,0.9448275862068966,0.81752939922224,0.8460904236810973,0.825462620281273,1.0
OURS,21.0,MARC-geo_only,2020-07-05 18:41:28.113589,1.2191983068785985,0.923969587835134,0.9795918367346939,0.9083342540099941,0.9274119675288871,0.9083651616599844,1.0,0.9033635299781273,0.8413793103448276,0.95,0.8085276877365296,0.8392827092308957,0.8150999259807549,0.0
OURS,22.0,MARC-geo_only,2020-07-05 18:41:31.866127,1.1968251812596375,0.9275710284113645,0.9795918367346939,0.9140781910414789,0.9287119861856382,0.913288925288411,1.0,0.8771561721275593,0.8568965517241379,0.946551724137931,0.8195958668985186,0.8409984373714944,0.8293979768073033,1.0
OURS,23.0,MARC-geo_only,2020-07-05 18:41:35.619581,1.172119944512534,0.9335734293717487,0.9839935974389756,0.9193660622912557,0.931849522971454,0.9206025841359661,1.0,0.8434243206320138,0.8568965517241379,0.9482758620689655,0.8196397730076486,0.8444177152726375,0.8315568714532443,0.0
