method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-generic,2020-07-07 07:38:42.451893,10.050482072440934,0.04932364581487388,0.14927048260381592,0.019374426763359886,0.03268430156345116,0.03693297381292486,1.0,5.504098584938145,0.04018081366147665,0.1366147664490206,0.011143362964869306,0.013814225409087447,0.02947021742202465,1.0
OURS,2.0,MARC-generic,2020-07-07 07:39:45.726947,5.196054600494753,0.24968988126882863,0.4838442908618347,0.1613861588500602,0.2379321432402614,0.20300698763580421,1.0,4.401746163111964,0.22375690607734808,0.4321948769462582,0.13987831771745107,0.17313890886333566,0.17994483762556054,1.0
OURS,3.0,MARC-generic,2020-07-07 07:40:49.277764,4.389591392182693,0.4028589993502274,0.6526079508535649,0.31809530127451974,0.42776132041508025,0.3515422637674039,1.0,3.6405507394981287,0.34731290808638876,0.5896534404821697,0.25716851195343177,0.291945597066832,0.2993476068777274,1.0
OURS,4.0,MARC-generic,2020-07-07 07:41:52.219471,3.7438065951767205,0.5133203378817414,0.7488333628684506,0.44809794799561836,0.54892665043456,0.46903222257698823,1.0,3.104890792888352,0.4480160723254646,0.6921145153189352,0.37319564887569134,0.41717826317153117,0.40476538187381556,1.0
OURS,5.0,MARC-generic,2020-07-07 07:42:55.174911,3.3011422743862933,0.5898162915706775,0.8064859117490697,0.5380713918189665,0.6227043951182902,0.5505140979565994,1.0,2.715145522119531,0.5190858864892014,0.751130085384229,0.456490447153707,0.5067942965175846,0.47796993278920985,1.0
OURS,6.0,MARC-generic,2020-07-07 07:43:57.736353,2.947161038096963,0.643511134739205,0.8379112765077678,0.6032190906554725,0.666329854449778,0.6106586985446237,1.0,2.4746964156238476,0.554746358613762,0.7807634354595681,0.5020723746193945,0.5468385770131604,0.5197579306013042,1.0
OURS,7.0,MARC-generic,2020-07-07 07:45:00.633518,2.716058957991509,0.6832063323291393,0.8635477582846004,0.653794251984428,0.708694034493376,0.6559307664370032,1.0,2.2720102281321357,0.5919136112506278,0.8098945253641386,0.5469190700311837,0.5894795125023875,0.5595586586550443,1.0
OURS,8.0,MARC-generic,2020-07-07 07:46:02.732789,2.5369374229971506,0.7069525666016894,0.8802055644160908,0.6813234552370471,0.726511152617997,0.6829978682854599,1.0,2.131580013237306,0.6125062782521346,0.8181818181818182,0.5704882254139039,0.6116511022552167,0.5822041523848752,1.0
OURS,9.0,MARC-generic,2020-07-07 07:47:05.308402,2.384567754732977,0.7290448343079922,0.8898340126410302,0.7069381913761089,0.7434369344949107,0.7081983804139217,1.0,2.023689841278111,0.6346057257659468,0.8297338021094928,0.5993114024191785,0.6466868488200618,0.6090998860577174,1.0
OURS,10.0,MARC-generic,2020-07-07 07:48:07.645626,2.260148083468648,0.7432216905901117,0.8989308287553902,0.7250932615648544,0.7582653896499687,0.725175923900625,1.0,1.934972429263538,0.644650929181316,0.8365143144148669,0.6117495728827473,0.6567552288529852,0.6214501194922881,1.0
OURS,11.0,MARC-generic,2020-07-07 07:49:10.243217,2.1623642027388645,0.7598204264870931,0.9061964675999764,0.7447582842101949,0.7772183481297322,0.7435171555245412,1.0,1.863732658218104,0.6592164741336012,0.8435459568056253,0.627612744123405,0.6675713398308687,0.6355652212579923,1.0
OURS,12.0,MARC-generic,2020-07-07 07:50:12.671770,2.0664487680644403,0.774528914879792,0.9136983873825979,0.7600922724462947,0.7886584795482648,0.7585965825589246,1.0,1.7741989127838809,0.676544450025113,0.8558513309894525,0.6493778211802336,0.6901416618897933,0.6560078921524704,1.0
OURS,13.0,MARC-generic,2020-07-07 07:51:15.283564,2.0023873707049495,0.7858703999054876,0.9212003071652195,0.7722045523392045,0.8014965922921696,0.769310047430879,1.0,1.7248394206682682,0.6818181818181818,0.853088900050226,0.6557704422623204,0.6953145408679672,0.6612176923923913,1.0
OURS,14.0,MARC-generic,2020-07-07 07:52:18.072905,1.9397586539517095,0.7975072361037273,0.9248626617047669,0.785950453106367,0.8086682349348588,0.7850068076687581,1.0,1.669183395005901,0.6948769462581618,0.8626318432948267,0.6711415488571326,0.7100449384275358,0.6746132214505709,1.0
OURS,15.0,MARC-generic,2020-07-07 07:53:20.199717,1.8905909736803317,0.8052454368243842,0.9286431567133322,0.7943543821400647,0.8160295526139503,0.7926355655118406,1.0,1.629324453730849,0.6961325966850829,0.8628829733802109,0.6696250109818472,0.706590358988108,0.675774036316205,1.0
