method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-specific,2020-07-06 14:58:39.962020,9.062138450484428,0.6317561580719475,0.8376159253352236,0.5207203629340349,0.5897052417747748,0.557207515200498,1.0,2.570444460791718,0.6215469613259669,0.8297338021094928,0.5080820162453166,0.5562153924561632,0.5457894180785747,1.0
OURS,2.0,MARC-specific,2020-07-06 15:00:17.451078,2.1010534480681513,0.9505582137161085,0.9815700868332448,0.9323117941773001,0.9453488954413747,0.9316028480759976,1.0,0.8139715297086823,0.9352084379708689,0.9743847312908086,0.9112774132761764,0.9302352063414113,0.9122632666307364,1.0
OURS,3.0,MARC-specific,2020-07-06 15:01:54.871431,0.8917870462465374,0.9843463878551598,0.9943292574871522,0.9810507802352306,0.9849568572129591,0.9807961634114786,1.0,0.41191368899951325,0.9691109994977398,0.9874434957307886,0.9632403956159749,0.9704088331347368,0.9632299706094887,1.0
OURS,4.0,MARC-specific,2020-07-06 15:03:31.609181,0.4925172104740588,0.9927343611554138,0.9970464882745584,0.991603168157343,0.992583489953952,0.9913227885259877,1.0,0.30219813518222405,0.9779005524861878,0.9897036664992466,0.9735244096696178,0.9775361407891529,0.9740805379359596,1.0
OURS,5.0,MARC-specific,2020-07-06 15:05:08.590692,0.32336181417522164,0.9962195049914349,0.9984051036682615,0.9957206808465269,0.9961461465446179,0.9955068182797163,1.0,0.2508896578127628,0.9821697639377197,0.9894525364138623,0.9789746564765418,0.9833129665960991,0.9788942093158961,1.0
OURS,6.0,MARC-specific,2020-07-06 15:06:45.245073,0.2362017426053352,0.9982869631992439,0.999291157185894,0.9978561827117017,0.9980205426729071,0.9977932584884501,1.0,0.20654266802870047,0.9851833249623305,0.9907081868407835,0.9822743845707892,0.98542569099798,0.9819183048098712,1.0
OURS,7.0,MARC-specific,2020-07-06 15:08:21.110525,0.19109170718281498,0.998936735778841,0.9997637190619647,0.9986974385333771,0.9989053494011643,0.9985516836658014,1.0,0.18369573194557912,0.9856855851330989,0.9917127071823204,0.982864843980829,0.9865423287110033,0.9822233210787428,1.0
OURS,8.0,MARC-specific,2020-07-06 15:09:57.411439,0.16004997326620177,0.9995865083584382,0.9999409297654912,0.9995182320773706,0.9995638779482786,0.9994951614176207,1.0,0.18459251623681178,0.9851833249623305,0.9917127071823204,0.9826667154914995,0.9858535206426774,0.9824514396803553,0.0
OURS,9.0,MARC-specific,2020-07-06 15:11:33.213147,0.14329664203278306,0.9998227892964735,1.0,0.9998095635617738,0.9998486161649452,0.9997777390742107,1.0,0.1728519690113113,0.9859367152184831,0.9922149673530889,0.9831095352317284,0.9862794724240508,0.9830669553561119,1.0
OURS,10.0,MARC-specific,2020-07-06 15:13:08.865959,0.12637830912579226,1.0,1.0,1.0,1.0,1.0,1.0,0.16694563462215115,0.9871923656454044,0.9922149673530889,0.9849187665598402,0.9875904160542714,0.9850385279602146,1.0
OURS,11.0,MARC-specific,2020-07-06 15:14:44.955111,0.12062905318548735,0.9999409297654912,1.0,0.9999551054796755,0.9999521897112259,0.9999590197524794,0.0,0.1647339926734155,0.9866901054746359,0.9927172275238574,0.9845203690731824,0.9872427995921972,0.9844337278072218,0.0
OURS,12.0,MARC-specific,2020-07-06 15:16:21.425359,0.10975425133456426,1.0,1.0,1.0,1.0,1.0,0.0,0.15971252592378737,0.9871923656454044,0.9924660974384731,0.9841696998476304,0.9870245049461918,0.9841988054337452,0.0
OURS,13.0,MARC-specific,2020-07-06 15:17:58.201532,0.10662212241871216,1.0,1.0,1.0,1.0,1.0,0.0,0.15705747503482295,0.987945755901557,0.9929683576092416,0.985939078973774,0.9890650458421543,0.9854090075475618,1.0
OURS,14.0,MARC-specific,2020-07-06 15:19:34.183280,0.10319569563265707,1.0,1.0,1.0,1.0,1.0,0.0,0.15608835441122576,0.9871923656454044,0.9929683576092416,0.9846946489615024,0.9874255820038953,0.9846368713838594,0.0
OURS,15.0,MARC-specific,2020-07-06 15:21:10.725652,0.10148900780087207,1.0,1.0,1.0,1.0,1.0,0.0,0.1509267122848198,0.9881968859869412,0.9937217478653942,0.9860608940035044,0.9887823298967877,0.9856713121773363,1.0
OURS,16.0,MARC-specific,2020-07-06 15:22:47.038894,0.09750194349998183,1.0,1.0,1.0,1.0,1.0,0.0,0.1536102738102317,0.9864389753892516,0.99347061778001,0.9838059125598502,0.986238293166004,0.984184194876966,0.0
OURS,17.0,MARC-specific,2020-07-06 15:24:23.040989,0.09963352693171867,1.0,1.0,1.0,1.0,1.0,0.0,0.15499813465887072,0.9874434957307886,0.9937217478653942,0.9850763747019858,0.9874024736976544,0.9854012843470674,0.0
OURS,18.0,MARC-specific,2020-07-06 15:25:58.893075,0.0954014148605617,1.0,1.0,1.0,1.0,1.0,0.0,0.14776157188107175,0.9876946258161727,0.9939728779507785,0.9857346557160892,0.9885780328551412,0.985384500595344,0.0
OURS,19.0,MARC-specific,2020-07-06 15:27:35.145150,0.09339248458190567,1.0,1.0,1.0,1.0,1.0,0.0,0.14850011378122538,0.9892014063284782,0.9939728779507785,0.9875238480742581,0.9896100831341795,0.9875637303348147,1.0
OURS,20.0,MARC-specific,2020-07-06 15:29:11.671776,0.09273065678641958,1.0,1.0,1.0,1.0,1.0,0.0,0.15171871378097265,0.9881968859869412,0.994475138121547,0.9864649482192449,0.9884864689081555,0.9865947027091606,0.0
OURS,21.0,MARC-specific,2020-07-06 15:30:47.389938,0.09356069625554177,1.0,1.0,1.0,1.0,1.0,0.0,0.14855741888344556,0.9881968859869412,0.9937217478653942,0.9858174829114992,0.9882757135769185,0.9857977419724407,0.0
OURS,22.0,MARC-specific,2020-07-06 15:32:23.749188,0.09055087949832633,1.0,1.0,1.0,1.0,1.0,0.0,0.14770851064602494,0.9874434957307886,0.9942240080361627,0.9849259969709611,0.9876543971423489,0.9850496836942619,0.0
OURS,23.0,MARC-specific,2020-07-06 15:34:00.485493,0.09383499086029919,1.0,1.0,1.0,1.0,1.0,0.0,0.1478397144198358,0.987945755901557,0.9939728779507785,0.9861428842271449,0.9886511747957532,0.9858887041115957,0.0
OURS,24.0,MARC-specific,2020-07-06 15:35:36.770679,0.08917088278016011,1.0,1.0,1.0,1.0,1.0,0.0,0.14845558489793992,0.9886991461577097,0.9932194876946259,0.9868963575690821,0.9893334577069517,0.9867461743967768,0.0
OURS,25.0,MARC-specific,2020-07-06 15:37:12.647147,0.08994885308360932,1.0,1.0,1.0,1.0,1.0,0.0,0.14978012693311507,0.9866901054746359,0.99347061778001,0.9844697714211252,0.9873305409449988,0.9843749568147158,0.0
OURS,26.0,MARC-specific,2020-07-06 15:38:48.471418,0.08948352104119467,1.0,1.0,1.0,1.0,1.0,0.0,0.144618362757143,0.9899547965846308,0.9937217478653942,0.9881199694134891,0.9901775043341309,0.9881913211732488,1.0
OURS,27.0,MARC-specific,2020-07-06 15:40:24.629132,0.09017260375587423,1.0,1.0,1.0,1.0,1.0,0.0,0.1453489239104485,0.988950276243094,0.994475138121547,0.9866828404441111,0.9891318075053015,0.9865866117372142,0.0
OURS,28.0,MARC-specific,2020-07-06 15:42:00.747445,0.0886424219084931,1.0,1.0,1.0,1.0,1.0,0.0,0.14576626410740576,0.9894525364138623,0.99347061778001,0.9872903175674957,0.9898559885005669,0.987039238093455,0.0
OURS,29.0,MARC-specific,2020-07-06 15:43:37.081434,0.08728843796231375,1.0,1.0,1.0,1.0,1.0,0.0,0.14475474731144386,0.9886991461577097,0.9939728779507785,0.9871022142156404,0.9896565114938608,0.9869172271280706,0.0
OURS,30.0,MARC-specific,2020-07-06 15:45:13.667199,0.08719745838087233,1.0,1.0,1.0,1.0,1.0,0.0,0.14360451627576967,0.9894525364138623,0.994475138121547,0.9872376611702822,0.9900974025974026,0.9868178396792854,0.0
OURS,31.0,MARC-specific,2020-07-06 15:46:49.555670,0.0863491307880904,1.0,1.0,1.0,1.0,1.0,0.0,0.14232157436089563,0.9892014063284782,0.9942240080361627,0.987610859515106,0.9897166644154596,0.9875906278014712,0.0
OURS,32.0,MARC-specific,2020-07-06 15:48:26.433944,0.0859479020425655,1.0,1.0,1.0,1.0,1.0,0.0,0.14425003598198585,0.9884480160723255,0.9942240080361627,0.9866763578795473,0.9891271713560871,0.9866526768635203,0.0
OURS,33.0,MARC-specific,2020-07-06 15:50:02.880990,0.08518096959272627,1.0,1.0,1.0,1.0,1.0,0.0,0.14804113160076002,0.9897036664992466,0.994475138121547,0.9881432796939743,0.9902521619389089,0.9880561763091884,0.0
OURS,34.0,MARC-specific,2020-07-06 15:51:38.929373,0.08605695212108821,1.0,1.0,1.0,1.0,1.0,0.0,0.14382808186985752,0.9894525364138623,0.9942240080361627,0.9875618364578257,0.9897294584041572,0.9875335229250892,0.0
OURS,35.0,MARC-specific,2020-07-06 15:53:15.515524,0.08585088497430564,1.0,1.0,1.0,1.0,1.0,0.0,0.1462232173574384,0.9892014063284782,0.994475138121547,0.9873175803798173,0.9898901801010235,0.9871653837015283,0.0
OURS,36.0,MARC-specific,2020-07-06 15:54:51.747918,0.08493850443513741,1.0,1.0,1.0,1.0,1.0,0.0,0.14563737686167763,0.988950276243094,0.9939728779507785,0.9873993528460204,0.9898279765749645,0.9871875001393075,0.0
OURS,37.0,MARC-specific,2020-07-06 15:56:28.695205,0.08556262532105947,1.0,1.0,1.0,1.0,1.0,0.0,0.14325861358525824,0.9886991461577097,0.9942240080361627,0.9859359156182849,0.9882809292447847,0.9861461552726613,0.0
OURS,38.0,MARC-specific,2020-07-06 15:58:04.525923,0.08629782378569688,1.0,1.0,1.0,1.0,1.0,0.0,0.1450951945790689,0.9884480160723255,0.9937217478653942,0.9859901494324514,0.9881673658782092,0.9859654178931287,0.0
OURS,39.0,MARC-specific,2020-07-06 15:59:40.933068,0.08713268938831559,1.0,1.0,1.0,1.0,1.0,0.0,0.15307906035395616,0.9874434957307886,0.99347061778001,0.9850537245262303,0.9878991267545485,0.9850965021145743,0.0
OURS,40.0,MARC-specific,2020-07-06 16:01:17.138557,0.08720477783846851,1.0,1.0,1.0,1.0,1.0,0.0,0.14486322963225787,0.9881968859869412,0.9942240080361627,0.986628749979758,0.989649150492524,0.9860504622552815,0.0
OURS,41.0,MARC-specific,2020-07-06 16:02:52.946819,0.08652049421355718,1.0,1.0,1.0,1.0,1.0,0.0,0.1474319905873401,0.9886991461577097,0.994475138121547,0.9869170916050721,0.9896532349845603,0.9864632244150316,0.0
OURS,42.0,MARC-specific,2020-07-06 16:04:29.071557,0.0853947132893628,1.0,1.0,1.0,1.0,1.0,0.0,0.1445705090513306,0.988950276243094,0.994475138121547,0.987070686692815,0.989338261025008,0.9870330361294217,0.0
OURS,43.0,MARC-specific,2020-07-06 16:06:05.262181,0.08383939883490872,1.0,1.0,1.0,1.0,1.0,0.0,0.14077853888931854,0.9899547965846308,0.9947262682069312,0.9877089167691555,0.9900187608018933,0.987640973484347,0.0
OURS,44.0,MARC-specific,2020-07-06 16:07:41.916848,0.08444787889465508,1.0,1.0,1.0,1.0,1.0,0.0,0.14134989186021205,0.9892014063284782,0.9947262682069312,0.9877333152078155,0.9905929913460033,0.9870132600554288,0.0
OURS,45.0,MARC-specific,2020-07-06 16:09:18.397910,0.08352283772282046,1.0,1.0,1.0,1.0,1.0,0.0,0.14260687103512776,0.9897036664992466,0.9949773982923155,0.987856831922897,0.9899829755251441,0.9880227091070465,0.0
OURS,46.0,MARC-specific,2020-07-06 16:10:55.383778,0.08371878849512236,1.0,1.0,1.0,1.0,1.0,0.0,0.14259135431602096,0.9897036664992466,0.9939728779507785,0.9881563000977055,0.9899986448179219,0.988526238375636,0.0
OURS,47.0,MARC-specific,2020-07-06 16:12:32.014317,0.08298141901474342,1.0,1.0,1.0,1.0,1.0,0.0,0.14140354470728272,0.9904570567553993,0.9952285283776996,0.9890400325538888,0.9910397723650736,0.9889726126171908,1.0
OURS,48.0,MARC-specific,2020-07-06 16:14:08.740119,0.0843262852811195,1.0,1.0,1.0,1.0,1.0,0.0,0.1396595476291576,0.9886991461577097,0.9952285283776996,0.9871685910233152,0.9895545886509742,0.987025937025937,0.0
OURS,49.0,MARC-specific,2020-07-06 16:15:45.133689,0.0832411630827443,1.0,1.0,1.0,1.0,1.0,0.0,0.14345057449752155,0.988950276243094,0.9952285283776996,0.9868141826764891,0.9886023726385171,0.9869787786956461,0.0
OURS,50.0,MARC-specific,2020-07-06 16:17:21.305594,0.08487637983843568,1.0,1.0,1.0,1.0,1.0,0.0,0.14736355328113815,0.9892014063284782,0.9942240080361627,0.9877252167403363,0.990157315910328,0.9874513761561954,0.0
OURS,51.0,MARC-specific,2020-07-06 16:18:57.781009,0.08915167497829113,1.0,1.0,1.0,1.0,1.0,0.0,0.14677779592801912,0.9897036664992466,0.9929683576092416,0.9876509044823183,0.9897372819059567,0.9879085160711667,0.0
OURS,52.0,MARC-specific,2020-07-06 16:20:33.761003,0.08572135261552699,1.0,1.0,1.0,1.0,1.0,0.0,0.14105607663893568,0.9902059266700151,0.9947262682069312,0.9883166547660923,0.9900674403686452,0.9884617892148012,0.0
OURS,53.0,MARC-specific,2020-07-06 16:22:09.723367,0.08446206533924336,1.0,1.0,1.0,1.0,1.0,0.0,0.14051911255063154,0.9907081868407835,0.994475138121547,0.9891356624080441,0.9907855364180667,0.9895467930106485,1.0
OURS,54.0,MARC-specific,2020-07-06 16:23:46.245812,0.08345578003020526,1.0,1.0,1.0,1.0,1.0,0.0,0.14439794656575952,0.9902059266700151,0.9947262682069312,0.9884485200035975,0.9905373798446088,0.9885055428730128,0.0
OURS,55.0,MARC-specific,2020-07-06 16:25:23.136608,0.0829923853834456,1.0,1.0,1.0,1.0,1.0,0.0,0.14370127510240124,0.9897036664992466,0.9942240080361627,0.9873134195184653,0.98935168468301,0.9877038512580683,0.0
OURS,56.0,MARC-specific,2020-07-06 16:26:59.401059,0.08280648878962638,1.0,1.0,1.0,1.0,1.0,0.0,0.1427416575689941,0.991210447011552,0.9947262682069312,0.9890893301055027,0.9905226522696402,0.9895438954173894,1.0
